minimal mqtt broker listening on 0.0.0.0:1883
1778686185.332836 accept ('127.0.0.1', 55102)
1778686185.333261 subscribe ('127.0.0.1', 55102) ipi/fintechparking/latency/av-1/request
1778686192.396515 accept ('10.120.121.40', 33938)
1778686192.426237 subscribe ('10.120.121.40', 33938) ipi/fintechparking/latency/av-1/ack
1778686192.456411 publish topic=ipi/fintechparking/latency/av-1/request bytes=320 forwarded=1
1778686192.456534 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686192.677092 publish topic=ipi/fintechparking/latency/av-1/request bytes=320 forwarded=1
1778686192.677549 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686192.897271 publish topic=ipi/fintechparking/latency/av-1/request bytes=320 forwarded=1
1778686192.897727 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686193.127466 publish topic=ipi/fintechparking/latency/av-1/request bytes=320 forwarded=1
1778686193.127910 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686193.347785 publish topic=ipi/fintechparking/latency/av-1/request bytes=320 forwarded=1
1778686193.348248 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686193.568348 publish topic=ipi/fintechparking/latency/av-1/request bytes=320 forwarded=1
1778686193.568852 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686193.788624 publish topic=ipi/fintechparking/latency/av-1/request bytes=320 forwarded=1
1778686193.789111 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686194.008881 publish topic=ipi/fintechparking/latency/av-1/request bytes=320 forwarded=1
1778686194.009351 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686194.239246 publish topic=ipi/fintechparking/latency/av-1/request bytes=320 forwarded=1
1778686194.239704 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686194.459722 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686194.460191 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686194.689827 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686194.690289 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686194.910321 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686194.910775 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686195.140393 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686195.140845 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686195.370628 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686195.371097 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686195.600980 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686195.601449 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686195.831241 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686195.831718 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686196.061600 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686196.062070 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686196.291909 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686196.292417 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686196.522338 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686196.522801 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686196.752457 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686196.752922 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686196.972881 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686196.973341 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686197.192949 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
