minimal mqtt broker listening on 0.0.0.0:1883
1778697314.605047 accept ('127.0.0.1', 59976)
1778697314.605489 subscribe ('127.0.0.1', 59976) ipi/fintechparking/latency/av-1/request
1778697321.614303 accept ('10.120.121.40', 41008)
1778697321.634327 subscribe ('10.120.121.40', 41008) ipi/fintechparking/latency/av-1/ack
1778697321.664243 publish topic=ipi/fintechparking/latency/av-1/request bytes=346 forwarded=1
1778697321.664384 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697321.884912 publish topic=ipi/fintechparking/latency/av-1/request bytes=346 forwarded=1
1778697321.885381 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697322.105208 publish topic=ipi/fintechparking/latency/av-1/request bytes=346 forwarded=1
1778697322.105660 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697322.345662 publish topic=ipi/fintechparking/latency/av-1/request bytes=346 forwarded=1
1778697322.346115 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697322.576097 publish topic=ipi/fintechparking/latency/av-1/request bytes=346 forwarded=1
1778697322.576546 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697322.826487 publish topic=ipi/fintechparking/latency/av-1/request bytes=346 forwarded=1
1778697322.826952 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697323.056770 publish topic=ipi/fintechparking/latency/av-1/request bytes=346 forwarded=1
1778697323.057220 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697323.287239 publish topic=ipi/fintechparking/latency/av-1/request bytes=346 forwarded=1
1778697323.287688 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697323.517172 publish topic=ipi/fintechparking/latency/av-1/request bytes=346 forwarded=1
1778697323.517614 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697323.747714 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697323.748158 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697323.978036 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697323.978550 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697324.218399 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697324.218833 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697324.448361 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697324.448859 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697324.678993 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697324.679453 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697324.909204 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697324.909652 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697325.139505 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697325.139952 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697325.369484 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697325.369698 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697325.600014 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697325.600466 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697325.830182 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697325.830630 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697326.060650 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697326.061108 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697326.280985 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697326.281436 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697326.501233 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697326.501760 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
