threaded mqtt broker listening on 0.0.0.0:1883
1778703107.224498 accept ('127.0.0.1', 53190)
1778703107.225287 subscribe ('127.0.0.1', 53190) ipi/fintechparking/latency/av-1/request
1778703114.236458 accept ('10.120.121.41', 40462)
1778703114.266530 subscribe ('10.120.121.41', 40462) ipi/fintechparking/latency/av-1/ack
1778703115.475099 publish topic=ipi/fintechparking/latency/av-1/request bytes=1048949 forwarded=1
1778703115.478683 publish topic=ipi/fintechparking/latency/av-1/ack bytes=234 forwarded=1
1778703116.736090 publish topic=ipi/fintechparking/latency/av-1/request bytes=1048949 forwarded=1
1778703116.738140 publish topic=ipi/fintechparking/latency/av-1/ack bytes=234 forwarded=1
1778703117.963686 publish topic=ipi/fintechparking/latency/av-1/request bytes=1048949 forwarded=1
1778703117.969258 publish topic=ipi/fintechparking/latency/av-1/ack bytes=234 forwarded=1
1778703119.179812 publish topic=ipi/fintechparking/latency/av-1/request bytes=1048949 forwarded=1
1778703119.181782 publish topic=ipi/fintechparking/latency/av-1/ack bytes=234 forwarded=1
1778703120.377693 publish topic=ipi/fintechparking/latency/av-1/request bytes=1048949 forwarded=1
1778703120.383232 publish topic=ipi/fintechparking/latency/av-1/ack bytes=234 forwarded=1
1778703121.534201 publish topic=ipi/fintechparking/latency/av-1/request bytes=1048949 forwarded=1
1778703121.536279 publish topic=ipi/fintechparking/latency/av-1/ack bytes=234 forwarded=1
1778703122.701335 publish topic=ipi/fintechparking/latency/av-1/request bytes=1048949 forwarded=1
1778703122.706908 publish topic=ipi/fintechparking/latency/av-1/ack bytes=234 forwarded=1
1778703123.865947 publish topic=ipi/fintechparking/latency/av-1/request bytes=1048949 forwarded=1
1778703123.870007 publish topic=ipi/fintechparking/latency/av-1/ack bytes=234 forwarded=1
1778703125.646352 publish topic=ipi/fintechparking/latency/av-1/request bytes=1048949 forwarded=1
1778703125.651919 publish topic=ipi/fintechparking/latency/av-1/ack bytes=234 forwarded=1
1778703126.922559 publish topic=ipi/fintechparking/latency/av-1/request bytes=1048951 forwarded=1
1778703126.924508 publish topic=ipi/fintechparking/latency/av-1/ack bytes=235 forwarded=1
1778703128.030172 publish topic=ipi/fintechparking/latency/av-1/request bytes=1048951 forwarded=1
1778703128.035719 publish topic=ipi/fintechparking/latency/av-1/ack bytes=235 forwarded=1
1778703129.286448 publish topic=ipi/fintechparking/latency/av-1/request bytes=1048951 forwarded=1
