emitter_role,emit_time_ns,run_id,condition_id,condition_label,service_type,transport,av_id,obu_id,rsu_id,request_id,session_id,intersection_id,source_id,sequence,network_load_level,qos_profile,mobility_state,clock_sync_state,accepted,service_success,vehicle_outcome_name,vehicle_outcome_value,vehicle_outcome_unit,frame_type,payload_bytes,client_send_ns,server_receive_ns,server_send_ns,client_receive_ns,rtt_ms,uplink_ms,server_ms,downlink_ms,detail
5g-receiver,1778689357600569575,edge4av-real-20260513-sunny-fintechparking-run-1-large-payload,p5g-tcp-service-payload-262144,private-5g-sunny-fintechparking-large-payload,guided-planning,tcp,,veh-01,rsu-1,p5g-tcp-service-payload-262144-1,ipi-session-1,intersection-101,veh-01,1,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,262222,1778689435678259189,1778689357599859264,1778689357600569575,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-1, offloadPayload=262144 bytes}"
5g-receiver,1778689358191296316,edge4av-real-20260513-sunny-fintechparking-run-1-large-payload,p5g-tcp-service-payload-262144,private-5g-sunny-fintechparking-large-payload,guided-planning,tcp,,veh-01,rsu-1,p5g-tcp-service-payload-262144-2,ipi-session-1,intersection-101,veh-01,2,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,262222,1778689436237529757,1778689358190691562,1778689358191296316,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-2, offloadPayload=262144 bytes}"
5g-receiver,1778689358771131241,edge4av-real-20260513-sunny-fintechparking-run-1-large-payload,p5g-tcp-service-payload-262144,private-5g-sunny-fintechparking-large-payload,guided-planning,tcp,,veh-01,rsu-1,p5g-tcp-service-payload-262144-3,ipi-session-1,intersection-101,veh-01,3,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,262222,1778689436829027761,1778689358770947162,1778689358771131241,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-3, offloadPayload=262144 bytes}"
5g-receiver,1778689359392873315,edge4av-real-20260513-sunny-fintechparking-run-1-large-payload,p5g-tcp-service-payload-262144,private-5g-sunny-fintechparking-large-payload,guided-planning,tcp,,veh-01,rsu-1,p5g-tcp-service-payload-262144-4,ipi-session-1,intersection-101,veh-01,4,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,262222,1778689437410089284,1778689359392262663,1778689359392873315,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-4, offloadPayload=262144 bytes}"
5g-receiver,1778689360013678088,edge4av-real-20260513-sunny-fintechparking-run-1-large-payload,p5g-tcp-service-payload-262144,private-5g-sunny-fintechparking-large-payload,guided-planning,tcp,,veh-01,rsu-1,p5g-tcp-service-payload-262144-5,ipi-session-1,intersection-101,veh-01,5,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,262222,1778689438030004179,1778689360013099566,1778689360013678088,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-5, offloadPayload=262144 bytes}"
5g-receiver,1778689360554677359,edge4av-real-20260513-sunny-fintechparking-run-1-large-payload,p5g-tcp-service-payload-262144,private-5g-sunny-fintechparking-large-payload,guided-planning,tcp,,veh-01,rsu-1,p5g-tcp-service-payload-262144-6,ipi-session-1,intersection-101,veh-01,6,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,262222,1778689438651082074,1778689360554095008,1778689360554677359,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-6, offloadPayload=262144 bytes}"
5g-receiver,1778689361155847038,edge4av-real-20260513-sunny-fintechparking-run-1-large-payload,p5g-tcp-service-payload-262144,private-5g-sunny-fintechparking-large-payload,guided-planning,tcp,,veh-01,rsu-1,p5g-tcp-service-payload-262144-7,ipi-session-1,intersection-101,veh-01,7,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,262222,1778689439191848088,1778689361155267718,1778689361155847038,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-7, offloadPayload=262144 bytes}"
5g-receiver,1778689361786709147,edge4av-real-20260513-sunny-fintechparking-run-1-large-payload,p5g-tcp-service-payload-262144,private-5g-sunny-fintechparking-large-payload,guided-planning,tcp,,veh-01,rsu-1,p5g-tcp-service-payload-262144-8,ipi-session-1,intersection-101,veh-01,8,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,262222,1778689439815020887,1778689361786122180,1778689361786709147,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-8, offloadPayload=262144 bytes}"
5g-receiver,1778689362487928234,edge4av-real-20260513-sunny-fintechparking-run-1-large-payload,p5g-tcp-service-payload-262144,private-5g-sunny-fintechparking-large-payload,guided-planning,tcp,,veh-01,rsu-1,p5g-tcp-service-payload-262144-9,ipi-session-1,intersection-101,veh-01,9,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,262222,1778689440442162275,1778689362487339212,1778689362487928234,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-9, offloadPayload=262144 bytes}"
5g-receiver,1778689363199127760,edge4av-real-20260513-sunny-fintechparking-run-1-large-payload,p5g-tcp-service-payload-262144,private-5g-sunny-fintechparking-large-payload,guided-planning,tcp,,veh-01,rsu-1,p5g-tcp-service-payload-262144-10,ipi-session-1,intersection-101,veh-01,10,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,262223,1778689441142053581,1778689363198546608,1778689363199127760,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-10, offloadPayload=262144 bytes}"
