emitter_role,emit_time_ns,run_id,condition_id,condition_label,service_type,transport,av_id,obu_id,rsu_id,request_id,session_id,intersection_id,source_id,sequence,network_load_level,qos_profile,mobility_state,clock_sync_state,accepted,service_success,vehicle_outcome_name,vehicle_outcome_value,vehicle_outcome_unit,frame_type,payload_bytes,client_send_ns,server_receive_ns,server_send_ns,client_receive_ns,rtt_ms,uplink_ms,server_ms,downlink_ms,detail
5g-receiver,1778685858511803536,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-tcp-spat-baseline,private-5g-sunny-fintechparking,intersection-state,tcp,,veh-01,rsu-1,p5g-tcp-spat-baseline-1,,intersection-101,veh-01,1,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778685936816091712,1778685858511782122,1778685858511803536,,,,,,"SPaT{intersection=101, phases=2}"
5g-receiver,1778685858812339592,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-tcp-spat-baseline,private-5g-sunny-fintechparking,intersection-state,tcp,,veh-01,rsu-1,p5g-tcp-spat-baseline-2,,intersection-101,veh-01,2,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778685937081498257,1778685858812304825,1778685858812339592,,,,,,"SPaT{intersection=101, phases=2}"
5g-receiver,1778685859122689641,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-tcp-spat-baseline,private-5g-sunny-fintechparking,intersection-state,tcp,,veh-01,rsu-1,p5g-tcp-spat-baseline-3,,intersection-101,veh-01,3,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778685937382496713,1778685859122654671,1778685859122689641,,,,,,"SPaT{intersection=101, phases=2}"
5g-receiver,1778685859433020800,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-tcp-spat-baseline,private-5g-sunny-fintechparking,intersection-state,tcp,,veh-01,rsu-1,p5g-tcp-spat-baseline-4,,intersection-101,veh-01,4,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778685937691965470,1778685859432986166,1778685859433020800,,,,,,"SPaT{intersection=101, phases=2}"
5g-receiver,1778685859743547138,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-tcp-spat-baseline,private-5g-sunny-fintechparking,intersection-state,tcp,,veh-01,rsu-1,p5g-tcp-spat-baseline-5,,intersection-101,veh-01,5,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778685938002314186,1778685859743512860,1778685859743547138,,,,,,"SPaT{intersection=101, phases=2}"
5g-receiver,1778685860063744149,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-tcp-spat-baseline,private-5g-sunny-fintechparking,intersection-state,tcp,,veh-01,rsu-1,p5g-tcp-spat-baseline-6,,intersection-101,veh-01,6,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778685938313390117,1778685860063708956,1778685860063744149,,,,,,"SPaT{intersection=101, phases=2}"
5g-receiver,1778685860394396826,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-tcp-spat-baseline,private-5g-sunny-fintechparking,intersection-state,tcp,,veh-01,rsu-1,p5g-tcp-spat-baseline-7,,intersection-101,veh-01,7,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778685938647044298,1778685860394362551,1778685860394396826,,,,,,"SPaT{intersection=101, phases=2}"
5g-receiver,1778685860715050732,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-tcp-spat-baseline,private-5g-sunny-fintechparking,intersection-state,tcp,,veh-01,rsu-1,p5g-tcp-spat-baseline-8,,intersection-101,veh-01,8,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778685938978397737,1778685860715015533,1778685860715050732,,,,,,"SPaT{intersection=101, phases=2}"
5g-receiver,1778685861035294587,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-tcp-spat-baseline,private-5g-sunny-fintechparking,intersection-state,tcp,,veh-01,rsu-1,p5g-tcp-spat-baseline-9,,intersection-101,veh-01,9,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778685939294305875,1778685861035258864,1778685861035294587,,,,,,"SPaT{intersection=101, phases=2}"
5g-receiver,1778685861365819876,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-tcp-spat-baseline,private-5g-sunny-fintechparking,intersection-state,tcp,,veh-01,rsu-1,p5g-tcp-spat-baseline-10,,intersection-101,veh-01,10,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778685939616602481,1778685861365784209,1778685861365819876,,,,,,"SPaT{intersection=101, phases=2}"
5g-receiver,1778685861685970862,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-tcp-spat-baseline,private-5g-sunny-fintechparking,intersection-state,tcp,,veh-01,rsu-1,p5g-tcp-spat-baseline-11,,intersection-101,veh-01,11,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778685939945973618,1778685861685936073,1778685861685970862,,,,,,"SPaT{intersection=101, phases=2}"
