system_time_ns,ros_time_sec,sample_topic,position_source,speed_source,latitude_deg,longitude_deg,altitude_m,horizontal_speed_mps,vertical_speed_mps,north_velocity_mps,east_velocity_mps,up_velocity_mps,track_ground_deg,solution_status,position_or_velocity_type
1778684189929453625,1778684189.899255147,/novatel/oem7/bestpos,/novatel/oem7/bestpos,,39.663796555,-75.757008624,32.538993853,,,,,,,novatel_oem7_msgs.msg.SolutionStatus(status=0),novatel_oem7_msgs.msg.PositionOrVelocityType(type=53)
1778684189930048171,1778684189.899730954,/novatel/oem7/bestvel,/novatel/oem7/bestpos,/novatel/oem7/bestvel,39.663796555,-75.757008624,32.538993853,0.005377543,-0.001692013,,,,58.461718771,novatel_oem7_msgs.msg.SolutionStatus(status=0),novatel_oem7_msgs.msg.PositionOrVelocityType(type=53)
1778684189930630834,1778684189.874054211,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.663793209,-75.757002681,-2.424319226,0.005212266,-0.001693818,0.002681838,0.004469392,-0.001693818,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1778684189931130647,1778684189.874203886,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.663796552,-75.757008626,-1.661130146,0.005212266,-0.001693818,0.002681838,0.004469392,-0.001693818,,0,
1778684189931881346,1778684189.894499366,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.663793210,-75.757002681,-2.424284687,0.005294697,-0.001625568,0.002665064,0.004575069,-0.001625568,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1778684189932339515,1778684189.894647357,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.663796552,-75.757008626,-1.661130146,0.005294697,-0.001625568,0.002665064,0.004575069,-0.001625568,,0,
1778684189933041324,1778684189.914603685,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.663793210,-75.757002681,-2.424250774,0.005324428,-0.001503490,0.002757562,0.004554710,-0.001503490,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1778684189933488653,1778684189.914726613,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.663796555,-75.757008624,-1.661006910,0.005324428,-0.001503490,0.002757562,0.004554710,-0.001503490,,0,
1778684189934199829,1778684189.932862808,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.663793211,-75.757002680,-2.424240399,0.005507096,-0.001734396,0.002657375,0.004823533,-0.001734396,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1778684189934639885,1778684189.933043459,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.663796555,-75.757008624,-1.661006910,0.005507096,-0.001734396,0.002657375,0.004823533,-0.001734396,,0,
1778684189955193999,1778684189.954834243,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.663793211,-75.757002680,-2.424231141,0.005162227,-0.001879251,0.002787770,0.004344758,-0.001879251,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1778684189955932420,1778684189.955005850,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.663796555,-75.757008624,-1.661006910,0.005162227,-0.001879251,0.002787770,0.004344758,-0.001879251,,0,
1778684189973011441,1778684189.972670754,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.663793212,-75.757002680,-2.424198946,0.005436021,-0.001613512,0.002614130,0.004766199,-0.001613512,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
