emitter_role,emit_time_ns,run_id,condition_id,condition_label,service_type,transport,av_id,obu_id,rsu_id,request_id,session_id,intersection_id,source_id,sequence,network_load_level,qos_profile,mobility_state,clock_sync_state,accepted,service_success,vehicle_outcome_name,vehicle_outcome_value,vehicle_outcome_unit,frame_type,payload_bytes,client_send_ns,server_receive_ns,server_send_ns,client_receive_ns,rtt_ms,uplink_ms,server_ms,downlink_ms,detail
5g-sender,1778686270800155412,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-mqtt-service-payload-0,private-5g-sunny-fintechparking,guided-planning,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-service-payload-0-1,ipi-session-1,fintechparking,av-1,1,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,61,1778686270770812931,1778686192456456980,1778686192456480212,1778686270800155412,29.342,,0.023,78343.675,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1}"
5g-sender,1778686271020753899,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-mqtt-service-payload-0,private-5g-sunny-fintechparking,guided-planning,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-service-payload-0-2,ipi-session-1,fintechparking,av-1,2,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,61,1778686271000417135,1778686192677187022,1778686192677230203,1778686271020753899,20.337,,0.043,78343.524,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1}"
5g-sender,1778686271247763199,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-mqtt-service-payload-0,private-5g-sunny-fintechparking,guided-planning,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-service-payload-0-3,ipi-session-1,fintechparking,av-1,3,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,61,1778686271220979969,1778686192897392653,1778686192897434426,1778686271247763199,26.783,,0.042,78350.329,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1}"
5g-sender,1778686271477790700,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-mqtt-service-payload-0,private-5g-sunny-fintechparking,guided-planning,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-service-payload-0-4,ipi-session-1,fintechparking,av-1,4,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,61,1778686271448164010,1778686193127571148,1778686193127616745,1778686271477790700,29.627,,0.046,78350.174,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1}"
5g-sender,1778686271697651037,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-mqtt-service-payload-0,private-5g-sunny-fintechparking,guided-planning,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-service-payload-0-5,ipi-session-1,fintechparking,av-1,5,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,61,1778686271678073901,1778686193347913252,1778686193347954927,1778686271697651037,19.577,,0.042,78349.696,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1}"
5g-sender,1778686271913788788,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-mqtt-service-payload-0,private-5g-sunny-fintechparking,guided-planning,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-service-payload-0-6,ipi-session-1,fintechparking,av-1,6,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,61,1778686271898023225,1778686193568480071,1778686193568523733,1778686271913788788,15.766,,0.044,78345.265,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1}"
5g-sender,1778686272133651366,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-mqtt-service-payload-0,private-5g-sunny-fintechparking,guided-planning,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-service-payload-0-7,ipi-session-1,fintechparking,av-1,7,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,61,1778686272114136646,1778686193788774883,1778686193788818682,1778686272133651366,19.515,,0.044,78344.833,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1}"
5g-sender,1778686272355779615,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-mqtt-service-payload-0,private-5g-sunny-fintechparking,guided-planning,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-service-payload-0-8,ipi-session-1,fintechparking,av-1,8,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,61,1778686272334040071,1778686194009004546,1778686194009047249,1778686272355779615,21.740,,0.043,78346.732,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1}"
5g-sender,1778686272585775058,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-mqtt-service-payload-0,private-5g-sunny-fintechparking,guided-planning,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-service-payload-0-9,ipi-session-1,fintechparking,av-1,9,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,61,1778686272556161236,1778686194239372439,1778686194239413707,1778686272585775058,29.614,,0.041,78346.361,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1}"
5g-sender,1778686272807718112,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-mqtt-service-payload-0,private-5g-sunny-fintechparking,guided-planning,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-service-payload-0-10,ipi-session-1,fintechparking,av-1,10,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,61,1778686272786040557,1778686194459851832,1778686194459896312,1778686272807718112,21.678,,0.044,78347.822,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1}"
5g-sender,1778686273033212850,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-mqtt-service-payload-0,private-5g-sunny-fintechparking,guided-planning,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-service-payload-0-11,ipi-session-1,fintechparking,av-1,11,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,61,1778686273008056814,1778686194689953095,1778686194689995120,1778686273033212850,25.156,,0.042,78343.218,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1}"
5g-sender,1778686273254771355,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-mqtt-service-payload-0,private-5g-sunny-fintechparking,guided-planning,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-service-payload-0-12,ipi-session-1,fintechparking,av-1,12,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,61,1778686273233472757,1778686194910435578,1778686194910481450,1778686273254771355,21.299,,0.046,78344.290,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1}"
5g-sender,1778686273484773185,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-mqtt-service-payload-0,private-5g-sunny-fintechparking,guided-planning,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-service-payload-0-13,ipi-session-1,fintechparking,av-1,13,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,61,1778686273455024490,1778686195140521704,1778686195140564065,1778686273484773185,29.749,,0.042,78344.209,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1}"
