emitter_role,emit_time_ns,run_id,condition_id,condition_label,service_type,transport,av_id,obu_id,rsu_id,request_id,session_id,intersection_id,source_id,sequence,network_load_level,qos_profile,mobility_state,clock_sync_state,accepted,service_success,vehicle_outcome_name,vehicle_outcome_value,vehicle_outcome_unit,frame_type,payload_bytes,client_send_ns,server_receive_ns,server_send_ns,client_receive_ns,rtt_ms,uplink_ms,server_ms,downlink_ms,detail
5g-sender,1778687230043942441,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-mqtt-spat-baseline,private-5g-sunny-fintechparking,intersection-state,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-spat-baseline-1,,fintechparking,av-1,1,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778687230013353988,1778687151704230030,1778687151704251202,1778687230043942441,30.588,,0.021,78339.691,"SPaT{intersection=101, phases=2}"
5g-sender,1778687230275616769,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-mqtt-spat-baseline,private-5g-sunny-fintechparking,intersection-state,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-spat-baseline-2,,fintechparking,av-1,2,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778687230244302717,1778687151935057573,1778687151935103804,1778687230275616769,31.314,,0.046,78340.513,"SPaT{intersection=101, phases=2}"
5g-sender,1778687230506027762,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-mqtt-spat-baseline,private-5g-sunny-fintechparking,intersection-state,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-spat-baseline-3,,fintechparking,av-1,3,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778687230475870898,1778687152165275701,1778687152165310453,1778687230506027762,30.157,,0.035,78340.717,"SPaT{intersection=101, phases=2}"
5g-sender,1778687230734568471,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-mqtt-spat-baseline,private-5g-sunny-fintechparking,intersection-state,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-spat-baseline-4,,fintechparking,av-1,4,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778687230706305857,1778687152395617101,1778687152395650649,1778687230734568471,28.263,,0.034,78338.918,"SPaT{intersection=101, phases=2}"
5g-sender,1778687230955627177,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-mqtt-spat-baseline,private-5g-sunny-fintechparking,intersection-state,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-spat-baseline-5,,fintechparking,av-1,5,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778687230934918981,1778687152616008836,1778687152616043216,1778687230955627177,20.708,,0.034,78339.584,"SPaT{intersection=101, phases=2}"
5g-sender,1778687231175692978,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-mqtt-spat-baseline,private-5g-sunny-fintechparking,intersection-state,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-spat-baseline-6,,fintechparking,av-1,6,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778687231155902341,1778687152836192102,1778687152836225907,1778687231175692978,19.791,,0.034,78339.467,"SPaT{intersection=101, phases=2}"
5g-sender,1778687231396315630,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-mqtt-spat-baseline,private-5g-sunny-fintechparking,intersection-state,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-spat-baseline-7,,fintechparking,av-1,7,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778687231375961617,1778687153056525486,1778687153056561077,1778687231396315630,20.354,,0.036,78339.755,"SPaT{intersection=101, phases=2}"
5g-sender,1778687231621642335,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-mqtt-spat-baseline,private-5g-sunny-fintechparking,intersection-state,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-spat-baseline-8,,fintechparking,av-1,8,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778687231596559762,1778687153276763942,1778687153276798484,1778687231621642335,25.083,,0.035,78344.844,"SPaT{intersection=101, phases=2}"
5g-sender,1778687231841753825,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-mqtt-spat-baseline,private-5g-sunny-fintechparking,intersection-state,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-spat-baseline-9,,fintechparking,av-1,9,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778687231821859446,1778687153497018567,1778687153497054371,1778687231841753825,19.894,,0.036,78344.699,"SPaT{intersection=101, phases=2}"
5g-sender,1778687232056775401,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-mqtt-spat-baseline,private-5g-sunny-fintechparking,intersection-state,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-spat-baseline-10,,fintechparking,av-1,10,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778687232042089729,1778687153717304272,1778687153717339270,1778687232056775401,14.686,,0.035,78339.436,"SPaT{intersection=101, phases=2}"
5g-sender,1778687232276876258,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-mqtt-spat-baseline,private-5g-sunny-fintechparking,intersection-state,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-spat-baseline-11,,fintechparking,av-1,11,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778687232257025184,1778687153937215713,1778687153937250149,1778687232276876258,19.851,,0.034,78339.626,"SPaT{intersection=101, phases=2}"
5g-sender,1778687232498504691,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-mqtt-spat-baseline,private-5g-sunny-fintechparking,intersection-state,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-spat-baseline-12,,fintechparking,av-1,12,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778687232477110733,1778687154157652579,1778687154157687736,1778687232498504691,21.394,,0.035,78340.817,"SPaT{intersection=101, phases=2}"
5g-sender,1778687232719140313,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-mqtt-spat-baseline,private-5g-sunny-fintechparking,intersection-state,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-spat-baseline-13,,fintechparking,av-1,13,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778687232698698577,1778687154378092174,1778687154378125674,1778687232719140313,20.442,,0.034,78341.015,"SPaT{intersection=101, phases=2}"
5g-sender,1778687232939253077,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-mqtt-spat-baseline,private-5g-sunny-fintechparking,intersection-state,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-spat-baseline-14,,fintechparking,av-1,14,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778687232919418437,1778687154598214358,1778687154598248167,1778687232939253077,19.835,,0.034,78341.005,"SPaT{intersection=101, phases=2}"
5g-sender,1778687233159138402,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-mqtt-spat-baseline,private-5g-sunny-fintechparking,intersection-state,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-spat-baseline-15,,fintechparking,av-1,15,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778687233139474820,1778687154818175754,1778687154818210143,1778687233159138402,19.664,,0.034,78340.928,"SPaT{intersection=101, phases=2}"
5g-sender,1778687233379953453,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-mqtt-spat-baseline,private-5g-sunny-fintechparking,intersection-state,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-spat-baseline-16,,fintechparking,av-1,16,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778687233359402176,1778687155038580105,1778687155038613978,1778687233379953453,20.551,,0.034,78341.339,"SPaT{intersection=101, phases=2}"
5g-sender,1778687233599839043,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-mqtt-spat-baseline,private-5g-sunny-fintechparking,intersection-state,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-spat-baseline-17,,fintechparking,av-1,17,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778687233580208334,1778687155258811898,1778687155258832853,1778687233599839043,19.631,,0.021,78341.006,"SPaT{intersection=101, phases=2}"
