emitter_role,emit_time_ns,run_id,condition_id,condition_label,service_type,transport,av_id,obu_id,rsu_id,request_id,session_id,intersection_id,source_id,sequence,network_load_level,qos_profile,mobility_state,clock_sync_state,accepted,service_success,vehicle_outcome_name,vehicle_outcome_value,vehicle_outcome_unit,frame_type,payload_bytes,client_send_ns,server_receive_ns,server_send_ns,client_receive_ns,rtt_ms,uplink_ms,server_ms,downlink_ms,detail
5g-sender,1778685936881233028,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-tcp-spat-baseline,private-5g-sunny-fintechparking,intersection-state,tcp,av-1,obu-1,rsu-1,p5g-tcp-spat-baseline-1,,intersection-101,veh-01,1,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778685936816091712,1778685858511782122,1778685858511803536,1778685936881233028,65.141,,0.021,78369.429,"SPaT{intersection=101, phases=2}"
5g-sender,1778685937182306352,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-tcp-spat-baseline,private-5g-sunny-fintechparking,intersection-state,tcp,av-1,obu-1,rsu-1,p5g-tcp-spat-baseline-2,,intersection-101,veh-01,2,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778685937081498257,1778685858812304825,1778685858812339592,1778685937182306352,100.808,,0.035,78369.967,"SPaT{intersection=101, phases=2}"
5g-sender,1778685937491786059,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-tcp-spat-baseline,private-5g-sunny-fintechparking,intersection-state,tcp,av-1,obu-1,rsu-1,p5g-tcp-spat-baseline-3,,intersection-101,veh-01,3,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778685937382496713,1778685859122654671,1778685859122689641,1778685937491786059,109.289,,0.035,78369.096,"SPaT{intersection=101, phases=2}"
5g-sender,1778685937802137465,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-tcp-spat-baseline,private-5g-sunny-fintechparking,intersection-state,tcp,av-1,obu-1,rsu-1,p5g-tcp-spat-baseline-4,,intersection-101,veh-01,4,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778685937691965470,1778685859432986166,1778685859433020800,1778685937802137465,110.172,,0.035,78369.117,"SPaT{intersection=101, phases=2}"
5g-sender,1778685938113191003,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-tcp-spat-baseline,private-5g-sunny-fintechparking,intersection-state,tcp,av-1,obu-1,rsu-1,p5g-tcp-spat-baseline-5,,intersection-101,veh-01,5,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778685938002314186,1778685859743512860,1778685859743547138,1778685938113191003,110.877,,0.034,78369.644,"SPaT{intersection=101, phases=2}"
5g-sender,1778685938446868607,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-tcp-spat-baseline,private-5g-sunny-fintechparking,intersection-state,tcp,av-1,obu-1,rsu-1,p5g-tcp-spat-baseline-6,,intersection-101,veh-01,6,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778685938313390117,1778685860063708956,1778685860063744149,1778685938446868607,133.478,,0.035,78383.124,"SPaT{intersection=101, phases=2}"
5g-sender,1778685938778036218,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-tcp-spat-baseline,private-5g-sunny-fintechparking,intersection-state,tcp,av-1,obu-1,rsu-1,p5g-tcp-spat-baseline-7,,intersection-101,veh-01,7,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778685938647044298,1778685860394362551,1778685860394396826,1778685938778036218,130.992,,0.034,78383.639,"SPaT{intersection=101, phases=2}"
5g-sender,1778685939094111104,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-tcp-spat-baseline,private-5g-sunny-fintechparking,intersection-state,tcp,av-1,obu-1,rsu-1,p5g-tcp-spat-baseline-8,,intersection-101,veh-01,8,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778685938978397737,1778685860715015533,1778685860715050732,1778685939094111104,115.713,,0.035,78379.060,"SPaT{intersection=101, phases=2}"
5g-sender,1778685939416217215,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-tcp-spat-baseline,private-5g-sunny-fintechparking,intersection-state,tcp,av-1,obu-1,rsu-1,p5g-tcp-spat-baseline-9,,intersection-101,veh-01,9,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778685939294305875,1778685861035258864,1778685861035294587,1778685939416217215,121.911,,0.036,78380.923,"SPaT{intersection=101, phases=2}"
5g-sender,1778685939745785569,edge4av-real-20260513-sunny-fintechparking-run-1,p5g-tcp-spat-baseline,private-5g-sunny-fintechparking,intersection-state,tcp,av-1,obu-1,rsu-1,p5g-tcp-spat-baseline-10,,intersection-101,veh-01,10,idle,default,stationary,unsynced,true,true,,,,SPAT,14,1778685939616602481,1778685861365784209,1778685861365819876,1778685939745785569,129.183,,0.036,78379.966,"SPaT{intersection=101, phases=2}"
