emitter_role,emit_time_ns,run_id,condition_id,condition_label,service_type,transport,av_id,obu_id,rsu_id,request_id,session_id,intersection_id,source_id,sequence,network_load_level,qos_profile,mobility_state,clock_sync_state,accepted,service_success,vehicle_outcome_name,vehicle_outcome_value,vehicle_outcome_unit,frame_type,payload_bytes,client_send_ns,server_receive_ns,server_send_ns,client_receive_ns,rtt_ms,uplink_ms,server_ms,downlink_ms,detail
5g-receiver,1778789222740183951,edge4av-real-20260514-sunny-after-rain-run-1,p5g-mqtt-service-payload-262144,private-5g-sunny-after-rain,guided-planning,mqtt,,av-1,rsu-1,p5g-mqtt-service-payload-262144-1,ipi-session-1,moved-location,av-1,1,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,262220,1778789299613129913,1778789222739588862,1778789222740183951,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-1, offloadPayload=262144 bytes}"
5g-receiver,1778789224090576716,edge4av-real-20260514-sunny-after-rain-run-1,p5g-mqtt-service-payload-262144,private-5g-sunny-after-rain,guided-planning,mqtt,,av-1,rsu-1,p5g-mqtt-service-payload-262144-2,ipi-session-1,moved-location,av-1,2,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,262220,1778789301014018246,1778789224090488030,1778789224090576716,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-2, offloadPayload=262144 bytes}"
5g-receiver,1778789225331409389,edge4av-real-20260514-sunny-after-rain-run-1,p5g-mqtt-service-payload-262144,private-5g-sunny-after-rain,guided-planning,mqtt,,av-1,rsu-1,p5g-mqtt-service-payload-262144-3,ipi-session-1,moved-location,av-1,3,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,262220,1778789302364212993,1778789225331321270,1778789225331409389,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-3, offloadPayload=262144 bytes}"
5g-receiver,1778789226753125781,edge4av-real-20260514-sunny-after-rain-run-1,p5g-mqtt-service-payload-262144,private-5g-sunny-after-rain,guided-planning,mqtt,,av-1,rsu-1,p5g-mqtt-service-payload-262144-4,ipi-session-1,moved-location,av-1,4,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,262220,1778789303610592403,1778789226753037079,1778789226753125781,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-4, offloadPayload=262144 bytes}"
5g-receiver,1778789228667093292,edge4av-real-20260514-sunny-after-rain-run-1,p5g-mqtt-service-payload-262144,private-5g-sunny-after-rain,guided-planning,mqtt,,av-1,rsu-1,p5g-mqtt-service-payload-262144-5,ipi-session-1,moved-location,av-1,5,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,262220,1778789305034414965,1778789228667004362,1778789228667093292,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-5, offloadPayload=262144 bytes}"
5g-receiver,1778789230740120364,edge4av-real-20260514-sunny-after-rain-run-1,p5g-mqtt-service-payload-262144,private-5g-sunny-after-rain,guided-planning,mqtt,,av-1,rsu-1,p5g-mqtt-service-payload-262144-6,ipi-session-1,moved-location,av-1,6,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,262220,1778789307208519636,1778789230740032041,1778789230740120364,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-6, offloadPayload=262144 bytes}"
5g-receiver,1778789232031787431,edge4av-real-20260514-sunny-after-rain-run-1,p5g-mqtt-service-payload-262144,private-5g-sunny-after-rain,guided-planning,mqtt,,av-1,rsu-1,p5g-mqtt-service-payload-262144-7,ipi-session-1,moved-location,av-1,7,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,262220,1778789309014561992,1778789232031696932,1778789232031787431,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-7, offloadPayload=262144 bytes}"
5g-receiver,1778789233204047115,edge4av-real-20260514-sunny-after-rain-run-1,p5g-mqtt-service-payload-262144,private-5g-sunny-after-rain,guided-planning,mqtt,,av-1,rsu-1,p5g-mqtt-service-payload-262144-8,ipi-session-1,moved-location,av-1,8,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,262220,1778789310303187105,1778789233203956727,1778789233204047115,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-8, offloadPayload=262144 bytes}"
5g-receiver,1778789234535746381,edge4av-real-20260514-sunny-after-rain-run-1,p5g-mqtt-service-payload-262144,private-5g-sunny-after-rain,guided-planning,mqtt,,av-1,rsu-1,p5g-mqtt-service-payload-262144-9,ipi-session-1,moved-location,av-1,9,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,262220,1778789311478434140,1778789234535653661,1778789234535746381,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-9, offloadPayload=262144 bytes}"
5g-receiver,1778789235797894917,edge4av-real-20260514-sunny-after-rain-run-1,p5g-mqtt-service-payload-262144,private-5g-sunny-after-rain,guided-planning,mqtt,,av-1,rsu-1,p5g-mqtt-service-payload-262144-10,ipi-session-1,moved-location,av-1,10,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,262221,1778789312808530104,1778789235797805811,1778789235797894917,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-10, offloadPayload=262144 bytes}"
5g-receiver,1778789237019829760,edge4av-real-20260514-sunny-after-rain-run-1,p5g-mqtt-service-payload-262144,private-5g-sunny-after-rain,guided-planning,mqtt,,av-1,rsu-1,p5g-mqtt-service-payload-262144-11,ipi-session-1,moved-location,av-1,11,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,262221,1778789314068891312,1778789237019740194,1778789237019829760,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-11, offloadPayload=262144 bytes}"
5g-receiver,1778789238331886624,edge4av-real-20260514-sunny-after-rain-run-1,p5g-mqtt-service-payload-262144,private-5g-sunny-after-rain,guided-planning,mqtt,,av-1,rsu-1,p5g-mqtt-service-payload-262144-12,ipi-session-1,moved-location,av-1,12,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,262221,1778789315294669166,1778789238331795531,1778789238331886624,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-12, offloadPayload=262144 bytes}"
5g-receiver,1778789240094689026,edge4av-real-20260514-sunny-after-rain-run-1,p5g-mqtt-service-payload-262144,private-5g-sunny-after-rain,guided-planning,mqtt,,av-1,rsu-1,p5g-mqtt-service-payload-262144-13,ipi-session-1,moved-location,av-1,13,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,262221,1778789316608810580,1778789240094598623,1778789240094689026,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-13, offloadPayload=262144 bytes}"
5g-receiver,1778789241847537164,edge4av-real-20260514-sunny-after-rain-run-1,p5g-mqtt-service-payload-262144,private-5g-sunny-after-rain,guided-planning,mqtt,,av-1,rsu-1,p5g-mqtt-service-payload-262144-14,ipi-session-1,moved-location,av-1,14,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,262221,1778789318399325580,1778789241847446866,1778789241847537164,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-14, offloadPayload=262144 bytes}"
5g-receiver,1778789243290153177,edge4av-real-20260514-sunny-after-rain-run-1,p5g-mqtt-service-payload-262144,private-5g-sunny-after-rain,guided-planning,mqtt,,av-1,rsu-1,p5g-mqtt-service-payload-262144-15,ipi-session-1,moved-location,av-1,15,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,262221,1778789320133137077,1778789243290063261,1778789243290153177,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-15, offloadPayload=262144 bytes}"
5g-receiver,1778789244632212622,edge4av-real-20260514-sunny-after-rain-run-1,p5g-mqtt-service-payload-262144,private-5g-sunny-after-rain,guided-planning,mqtt,,av-1,rsu-1,p5g-mqtt-service-payload-262144-16,ipi-session-1,moved-location,av-1,16,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,262221,1778789321567437830,1778789244632122080,1778789244632212622,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-16, offloadPayload=262144 bytes}"
