threaded mqtt broker listening on 0.0.0.0:1883
1778785724.895123 accept ('127.0.0.1', 58280)
1778785724.895868 subscribe ('127.0.0.1', 58280) ipi/moved-location/latency/av-1/request
1778785732.450234 accept ('10.120.121.42', 54020)
1778785732.470158 subscribe ('10.120.121.42', 54020) ipi/moved-location/latency/av-1/ack
1778785732.490197 publish topic=ipi/moved-location/latency/av-1/request bytes=312 forwarded=1
1778785732.490450 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785732.710608 publish topic=ipi/moved-location/latency/av-1/request bytes=312 forwarded=1
1778785732.711043 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785732.930917 publish topic=ipi/moved-location/latency/av-1/request bytes=312 forwarded=1
1778785732.931534 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785733.151345 publish topic=ipi/moved-location/latency/av-1/request bytes=312 forwarded=1
1778785733.151974 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785733.391400 publish topic=ipi/moved-location/latency/av-1/request bytes=312 forwarded=1
1778785733.392062 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785733.612060 publish topic=ipi/moved-location/latency/av-1/request bytes=312 forwarded=1
1778785733.612710 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785733.842222 publish topic=ipi/moved-location/latency/av-1/request bytes=312 forwarded=1
1778785733.842859 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785734.082621 publish topic=ipi/moved-location/latency/av-1/request bytes=312 forwarded=1
1778785734.083252 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785734.353415 publish topic=ipi/moved-location/latency/av-1/request bytes=312 forwarded=1
1778785734.354052 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785734.603821 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785734.604400 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785734.844265 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785734.844870 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785735.084487 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785735.085122 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
