threaded mqtt broker listening on 0.0.0.0:1883
1778794224.075686 accept ('127.0.0.1', 57598)
1778794224.076437 subscribe ('127.0.0.1', 57598) ipi/moved-location/latency/av-1/request
1778794231.068366 accept ('10.120.121.43', 37040)
1778794231.088356 subscribe ('10.120.121.43', 37040) ipi/moved-location/latency/av-1/ack
1778794235.021120 publish topic=ipi/moved-location/latency/av-1/request bytes=1048915 forwarded=1
1778794235.024691 publish topic=ipi/moved-location/latency/av-1/ack bytes=234 forwarded=1
1778794239.136132 publish topic=ipi/moved-location/latency/av-1/request bytes=1048915 forwarded=1
1778794239.138357 publish topic=ipi/moved-location/latency/av-1/ack bytes=234 forwarded=1
1778794243.319288 publish topic=ipi/moved-location/latency/av-1/request bytes=1048915 forwarded=1
1778794243.324706 publish topic=ipi/moved-location/latency/av-1/ack bytes=234 forwarded=1
1778794246.454684 publish topic=ipi/moved-location/latency/av-1/request bytes=1048915 forwarded=1
1778794246.460287 publish topic=ipi/moved-location/latency/av-1/ack bytes=234 forwarded=1
1778794249.664703 publish topic=ipi/moved-location/latency/av-1/request bytes=1048915 forwarded=1
1778794249.666640 publish topic=ipi/moved-location/latency/av-1/ack bytes=234 forwarded=1
1778794253.518286 publish topic=ipi/moved-location/latency/av-1/request bytes=1048915 forwarded=1
1778794253.521858 publish topic=ipi/moved-location/latency/av-1/ack bytes=234 forwarded=1
1778794257.142204 publish topic=ipi/moved-location/latency/av-1/request bytes=1048915 forwarded=1
1778794257.147600 publish topic=ipi/moved-location/latency/av-1/ack bytes=234 forwarded=1
1778794260.621845 publish topic=ipi/moved-location/latency/av-1/request bytes=1048915 forwarded=1
1778794260.623810 publish topic=ipi/moved-location/latency/av-1/ack bytes=234 forwarded=1
1778794264.835292 publish topic=ipi/moved-location/latency/av-1/request bytes=1048915 forwarded=1
1778794264.840846 publish topic=ipi/moved-location/latency/av-1/ack bytes=234 forwarded=1
1778794268.621680 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794268.627278 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794271.957199 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794271.962558 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794275.332967 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794275.339125 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794279.251610 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794279.257307 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794282.449369 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794282.451322 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794286.203159 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794286.206494 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794289.867351 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794289.871886 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794295.107420 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794295.113031 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794300.738527 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794300.744167 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794306.087577 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794306.093119 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
