system_time_ns,ros_time_sec,sample_topic,position_source,speed_source,latitude_deg,longitude_deg,altitude_m,horizontal_speed_mps,vertical_speed_mps,north_velocity_mps,east_velocity_mps,up_velocity_mps,track_ground_deg,solution_status,position_or_velocity_type
1778765833638705027,1778765833.612269812,/novatel/oem7/bestpos,/novatel/oem7/bestpos,,39.666697941,-75.757000394,33.078840556,,,,,,,novatel_oem7_msgs.msg.SolutionStatus(status=0),novatel_oem7_msgs.msg.PositionOrVelocityType(type=53)
1778765833639227635,1778765833.612754494,/novatel/oem7/bestvel,/novatel/oem7/bestpos,/novatel/oem7/bestvel,39.666697941,-75.757000394,33.078840556,0.000831947,-0.001277759,,,,147.584244712,novatel_oem7_msgs.msg.SolutionStatus(status=0),novatel_oem7_msgs.msg.PositionOrVelocityType(type=53)
1778765833639725722,1778765833.587321384,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.666699502,-75.757007478,-1.883427933,0.000258684,-0.000838913,-0.000258618,-0.000005860,-0.000838913,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1778765833640192598,1778765833.587468354,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.666697941,-75.757000394,-1.121128273,0.000258684,-0.000838913,-0.000258618,-0.000005860,-0.000838913,,0,
1778765833640847103,1778765833.607196749,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.666699502,-75.757007478,-1.883434262,0.000490431,-0.000966102,-0.000475570,0.000119816,-0.000966102,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1778765833641271705,1778765833.607333422,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.666697941,-75.757000394,-1.121128273,0.000490431,-0.000966102,-0.000475570,0.000119816,-0.000966102,,0,
1778765833641910752,1778765833.627371512,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.666699502,-75.757007478,-1.883438581,0.000207737,-0.000613909,-0.000207412,0.000011608,-0.000613909,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1778765833642326555,1778765833.627615125,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.666697941,-75.757000394,-1.121160207,0.000207737,-0.000613909,-0.000207412,0.000011608,-0.000613909,,0,
1778765833646686427,1778765833.646418242,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.666699502,-75.757007478,-1.883447197,0.000363772,-0.000806468,-0.000315634,0.000180847,-0.000806468,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1778765833647310068,1778765833.646615532,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.666697941,-75.757000394,-1.121160207,0.000363772,-0.000806468,-0.000315634,0.000180847,-0.000806468,,0,
