emitter_role,emit_time_ns,run_id,condition_id,condition_label,service_type,transport,av_id,obu_id,rsu_id,request_id,session_id,intersection_id,source_id,sequence,network_load_level,qos_profile,mobility_state,clock_sync_state,accepted,service_success,vehicle_outcome_name,vehicle_outcome_value,vehicle_outcome_unit,frame_type,payload_bytes,client_send_ns,server_receive_ns,server_send_ns,client_receive_ns,rtt_ms,uplink_ms,server_ms,downlink_ms,detail
5g-sender,1778787467722075607,edge4av-real-20260514-sunny-after-rain-run-1,p5g-mqtt-service-payload-32768,private-5g-sunny-after-rain,guided-planning,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-service-payload-32768-1,ipi-session-1,moved-location,av-1,1,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,32844,1778787467574304986,1778787389626736151,1778787389626777116,1778787467722075607,147.771,,0.041,78095.298,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-1, offloadPayload=32768 bytes}"
5g-sender,1778787468075332138,edge4av-real-20260514-sunny-after-rain-run-1,p5g-mqtt-service-payload-32768,private-5g-sunny-after-rain,guided-planning,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-service-payload-32768-2,ipi-session-1,moved-location,av-1,2,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,32844,1778787467922611527,1778787389977903183,1778787389977959081,1778787468075332138,152.721,,0.056,78097.373,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-2, offloadPayload=32768 bytes}"
5g-sender,1778787468449147279,edge4av-real-20260514-sunny-after-rain-run-1,p5g-mqtt-service-payload-32768,private-5g-sunny-after-rain,guided-planning,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-service-payload-32768-3,ipi-session-1,moved-location,av-1,3,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,32844,1778787468275779752,1778787390358410614,1778787390358470344,1778787468449147279,173.368,,0.060,78090.677,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-3, offloadPayload=32768 bytes}"
5g-sender,1778787468847791552,edge4av-real-20260514-sunny-after-rain-run-1,p5g-mqtt-service-payload-32768,private-5g-sunny-after-rain,guided-planning,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-service-payload-32768-4,ipi-session-1,moved-location,av-1,4,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,32844,1778787468651446576,1778787390749082498,1778787390749137361,1778787468847791552,196.345,,0.055,78098.654,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-4, offloadPayload=32768 bytes}"
5g-sender,1778787469237555168,edge4av-real-20260514-sunny-after-rain-run-1,p5g-mqtt-service-payload-32768,private-5g-sunny-after-rain,guided-planning,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-service-payload-32768-5,ipi-session-1,moved-location,av-1,5,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,32844,1778787469048317967,1778787391149789422,1778787391149843548,1778787469237555168,189.237,,0.054,78087.712,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-5, offloadPayload=32768 bytes}"
5g-sender,1778787469673804950,edge4av-real-20260514-sunny-after-rain-run-1,p5g-mqtt-service-payload-32768,private-5g-sunny-after-rain,guided-planning,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-service-payload-32768-6,ipi-session-1,moved-location,av-1,6,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,32844,1778787469437943799,1778787391560346796,1778787391560404719,1778787469673804950,235.861,,0.058,78113.400,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-6, offloadPayload=32768 bytes}"
5g-sender,1778787470059209482,edge4av-real-20260514-sunny-after-rain-run-1,p5g-mqtt-service-payload-32768,private-5g-sunny-after-rain,guided-planning,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-service-payload-32768-7,ipi-session-1,moved-location,av-1,7,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,32844,1778787469874710244,1778787391970951735,1778787391971009359,1778787470059209482,184.499,,0.058,78088.200,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-7, offloadPayload=32768 bytes}"
5g-sender,1778787470459687523,edge4av-real-20260514-sunny-after-rain-run-1,p5g-mqtt-service-payload-32768,private-5g-sunny-after-rain,guided-planning,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-service-payload-32768-8,ipi-session-1,moved-location,av-1,8,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,32844,1778787470259654869,1778787392371589360,1778787392371642790,1778787470459687523,200.033,,0.053,78088.045,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-8, offloadPayload=32768 bytes}"
5g-sender,1778787470819719510,edge4av-real-20260514-sunny-after-rain-run-1,p5g-mqtt-service-payload-32768,private-5g-sunny-after-rain,guided-planning,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-service-payload-32768-9,ipi-session-1,moved-location,av-1,9,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,32844,1778787470660069465,1778787392732075248,1778787392732130737,1778787470819719510,159.650,,0.055,78087.589,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-9, offloadPayload=32768 bytes}"
5g-sender,1778787471161575497,edge4av-real-20260514-sunny-after-rain-run-1,p5g-mqtt-service-payload-32768,private-5g-sunny-after-rain,guided-planning,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-service-payload-32768-10,ipi-session-1,moved-location,av-1,10,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,32845,1778787471020077358,1778787393072576342,1778787393072632220,1778787471161575497,141.498,,0.056,78088.943,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-10, offloadPayload=32768 bytes}"
