emitter_role,emit_time_ns,run_id,condition_id,condition_label,service_type,transport,av_id,obu_id,rsu_id,request_id,session_id,intersection_id,source_id,sequence,network_load_level,qos_profile,mobility_state,clock_sync_state,accepted,service_success,vehicle_outcome_name,vehicle_outcome_value,vehicle_outcome_unit,frame_type,payload_bytes,client_send_ns,server_receive_ns,server_send_ns,client_receive_ns,rtt_ms,uplink_ms,server_ms,downlink_ms,detail
5g-sender,1778766245906082830,edge4av-real-20260514-sunny-after-rain-run-1,p5g-tcp-service-payload-256,private-5g-sunny-after-rain,guided-planning,tcp,av-1,obu-1,rsu-1,p5g-tcp-service-payload-256-1,ipi-session-1,intersection-101,veh-01,1,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,334,1778766245816011432,1778766167744612926,1778766167744649573,1778766245906082830,90.071,,0.037,78161.433,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-1, offloadPayload=256 bytes}"
5g-sender,1778766246218179246,edge4av-real-20260514-sunny-after-rain-run-1,p5g-tcp-service-payload-256,private-5g-sunny-after-rain,guided-planning,tcp,av-1,obu-1,rsu-1,p5g-tcp-service-payload-256-2,ipi-session-1,intersection-101,veh-01,2,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,334,1778766246106524788,1778766168064956185,1778766168065006468,1778766246218179246,111.654,,0.050,78153.173,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-2, offloadPayload=256 bytes}"
5g-sender,1778766246558092962,edge4av-real-20260514-sunny-after-rain-run-1,p5g-tcp-service-payload-256,private-5g-sunny-after-rain,guided-planning,tcp,av-1,obu-1,rsu-1,p5g-tcp-service-payload-256-3,ipi-session-1,intersection-101,veh-01,3,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,334,1778766246418391763,1778766168395514377,1778766168395564602,1778766246558092962,139.701,,0.050,78162.528,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-3, offloadPayload=256 bytes}"
5g-sender,1778766246888052273,edge4av-real-20260514-sunny-after-rain-run-1,p5g-tcp-service-payload-256,private-5g-sunny-after-rain,guided-planning,tcp,av-1,obu-1,rsu-1,p5g-tcp-service-payload-256-4,ipi-session-1,intersection-101,veh-01,4,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,334,1778766246758321446,1778766168735844910,1778766168735895176,1778766246888052273,129.731,,0.050,78152.157,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-4, offloadPayload=256 bytes}"
5g-sender,1778766247198756041,edge4av-real-20260514-sunny-after-rain-run-1,p5g-tcp-service-payload-256,private-5g-sunny-after-rain,guided-planning,tcp,av-1,obu-1,rsu-1,p5g-tcp-service-payload-256-5,ipi-session-1,intersection-101,veh-01,5,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,334,1778766247088291121,1778766169046252395,1778766169046301949,1778766247198756041,110.465,,0.050,78152.454,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-5, offloadPayload=256 bytes}"
5g-sender,1778766247508770760,edge4av-real-20260514-sunny-after-rain-run-1,p5g-tcp-service-payload-256,private-5g-sunny-after-rain,guided-planning,tcp,av-1,obu-1,rsu-1,p5g-tcp-service-payload-256-6,ipi-session-1,intersection-101,veh-01,6,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,334,1778766247399061869,1778766169346350043,1778766169346400507,1778766247508770760,109.709,,0.050,78162.370,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-6, offloadPayload=256 bytes}"
5g-sender,1778766247828567456,edge4av-real-20260514-sunny-after-rain-run-1,p5g-tcp-service-payload-256,private-5g-sunny-after-rain,guided-planning,tcp,av-1,obu-1,rsu-1,p5g-tcp-service-payload-256-7,ipi-session-1,intersection-101,veh-01,7,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,334,1778766247709071975,1778766169656634194,1778766169656709562,1778766247828567456,119.495,,0.075,78171.858,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-7, offloadPayload=256 bytes}"
5g-sender,1778766248139078993,edge4av-real-20260514-sunny-after-rain-run-1,p5g-tcp-service-payload-256,private-5g-sunny-after-rain,guided-planning,tcp,av-1,obu-1,rsu-1,p5g-tcp-service-payload-256-8,ipi-session-1,intersection-101,veh-01,8,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,334,1778766248028957411,1778766169977228839,1778766169977278628,1778766248139078993,110.122,,0.050,78161.800,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-8, offloadPayload=256 bytes}"
5g-sender,1778766248439630947,edge4av-real-20260514-sunny-after-rain-run-1,p5g-tcp-service-payload-256,private-5g-sunny-after-rain,guided-planning,tcp,av-1,obu-1,rsu-1,p5g-tcp-service-payload-256-9,ipi-session-1,intersection-101,veh-01,9,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,334,1778766248339340548,1778766170287491802,1778766170287542523,1778766248439630947,100.290,,0.051,78152.088,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-9, offloadPayload=256 bytes}"
5g-sender,1778766248757693571,edge4av-real-20260514-sunny-after-rain-run-1,p5g-tcp-service-payload-256,private-5g-sunny-after-rain,guided-planning,tcp,av-1,obu-1,rsu-1,p5g-tcp-service-payload-256-10,ipi-session-1,intersection-101,veh-01,10,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,335,1778766248639941086,1778766170597847643,1778766170597897023,1778766248757693571,117.752,,0.049,78159.797,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-10, offloadPayload=256 bytes}"
5g-sender,1778766249059979996,edge4av-real-20260514-sunny-after-rain-run-1,p5g-tcp-service-payload-256,private-5g-sunny-after-rain,guided-planning,tcp,av-1,obu-1,rsu-1,p5g-tcp-service-payload-256-11,ipi-session-1,intersection-101,veh-01,11,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,335,1778766248958083830,1778766170908108828,1778766170908159350,1778766249059979996,101.896,,0.051,78151.821,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-11, offloadPayload=256 bytes}"
5g-sender,1778766249381013394,edge4av-real-20260514-sunny-after-rain-run-1,p5g-tcp-service-payload-256,private-5g-sunny-after-rain,guided-planning,tcp,av-1,obu-1,rsu-1,p5g-tcp-service-payload-256-12,ipi-session-1,intersection-101,veh-01,12,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,335,1778766249260230529,1778766171218407542,1778766171218458218,1778766249381013394,120.783,,0.051,78162.555,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-12, offloadPayload=256 bytes}"
5g-sender,1778766249690490480,edge4av-real-20260514-sunny-after-rain-run-1,p5g-tcp-service-payload-256,private-5g-sunny-after-rain,guided-planning,tcp,av-1,obu-1,rsu-1,p5g-tcp-service-payload-256-13,ipi-session-1,intersection-101,veh-01,13,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,335,1778766249581242097,1778766171528472951,1778766171528522970,1778766249690490480,109.248,,0.050,78161.968,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-13, offloadPayload=256 bytes}"
5g-sender,1778766250001015326,edge4av-real-20260514-sunny-after-rain-run-1,p5g-tcp-service-payload-256,private-5g-sunny-after-rain,guided-planning,tcp,av-1,obu-1,rsu-1,p5g-tcp-service-payload-256-14,ipi-session-1,intersection-101,veh-01,14,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,335,1778766249890791490,1778766171839133780,1778766171839154235,1778766250001015326,110.224,,0.020,78161.861,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-14, offloadPayload=256 bytes}"
5g-sender,1778766250320639234,edge4av-real-20260514-sunny-after-rain-run-1,p5g-tcp-service-payload-256,private-5g-sunny-after-rain,guided-planning,tcp,av-1,obu-1,rsu-1,p5g-tcp-service-payload-256-15,ipi-session-1,intersection-101,veh-01,15,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,335,1778766250201267236,1778766172149367802,1778766172149419904,1778766250320639234,119.372,,0.052,78171.219,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-15, offloadPayload=256 bytes}"
5g-sender,1778766250642543939,edge4av-real-20260514-sunny-after-rain-run-1,p5g-tcp-service-payload-256,private-5g-sunny-after-rain,guided-planning,tcp,av-1,obu-1,rsu-1,p5g-tcp-service-payload-256-16,ipi-session-1,intersection-101,veh-01,16,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,335,1778766250520903554,1778766172479753724,1778766172479803642,1778766250642543939,121.640,,0.050,78162.740,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-16, offloadPayload=256 bytes}"
5g-sender,1778766250970759103,edge4av-real-20260514-sunny-after-rain-run-1,p5g-tcp-service-payload-256,private-5g-sunny-after-rain,guided-planning,tcp,av-1,obu-1,rsu-1,p5g-tcp-service-payload-256-17,ipi-session-1,intersection-101,veh-01,17,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,335,1778766250842799833,1778766172800282912,1778766172800333736,1778766250970759103,127.959,,0.051,78170.425,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-17, offloadPayload=256 bytes}"
5g-sender,1778766251283209898,edge4av-real-20260514-sunny-after-rain-run-1,p5g-tcp-service-payload-256,private-5g-sunny-after-rain,guided-planning,tcp,av-1,obu-1,rsu-1,p5g-tcp-service-payload-256-18,ipi-session-1,intersection-101,veh-01,18,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,335,1778766251171006885,1778766173120511950,1778766173120561609,1778766251283209898,112.203,,0.050,78162.648,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-18, offloadPayload=256 bytes}"
5g-sender,1778766251593215047,edge4av-real-20260514-sunny-after-rain-run-1,p5g-tcp-service-payload-256,private-5g-sunny-after-rain,guided-planning,tcp,av-1,obu-1,rsu-1,p5g-tcp-service-payload-256-19,ipi-session-1,intersection-101,veh-01,19,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,335,1778766251483443533,1778766173430999948,1778766173431049616,1778766251593215047,109.772,,0.050,78162.165,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-19, offloadPayload=256 bytes}"
5g-sender,1778766251903035519,edge4av-real-20260514-sunny-after-rain-run-1,p5g-tcp-service-payload-256,private-5g-sunny-after-rain,guided-planning,tcp,av-1,obu-1,rsu-1,p5g-tcp-service-payload-256-20,ipi-session-1,intersection-101,veh-01,20,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,335,1778766251793496809,1778766173751311258,1778766173751361117,1778766251903035519,109.539,,0.050,78151.674,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-20, offloadPayload=256 bytes}"
5g-sender,1778766252213563852,edge4av-real-20260514-sunny-after-rain-run-1,p5g-tcp-service-payload-256,private-5g-sunny-after-rain,guided-planning,tcp,av-1,obu-1,rsu-1,p5g-tcp-service-payload-256-21,ipi-session-1,intersection-101,veh-01,21,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,335,1778766252103351676,1778766174051595616,1778766174051645300,1778766252213563852,110.212,,0.050,78161.919,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-21, offloadPayload=256 bytes}"
5g-sender,1778766252534241209,edge4av-real-20260514-sunny-after-rain-run-1,p5g-tcp-service-payload-256,private-5g-sunny-after-rain,guided-planning,tcp,av-1,obu-1,rsu-1,p5g-tcp-service-payload-256-22,ipi-session-1,intersection-101,veh-01,22,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,335,1778766252413856515,1778766174371910753,1778766174371963045,1778766252534241209,120.385,,0.052,78162.278,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-22, offloadPayload=256 bytes}"
5g-sender,1778766252855265496,edge4av-real-20260514-sunny-after-rain-run-1,p5g-tcp-service-payload-256,private-5g-sunny-after-rain,guided-planning,tcp,av-1,obu-1,rsu-1,p5g-tcp-service-payload-256-23,ipi-session-1,intersection-101,veh-01,23,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,335,1778766252734515619,1778766174692376693,1778766174692426034,1778766252855265496,120.750,,0.049,78162.839,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-23, offloadPayload=256 bytes}"
5g-sender,1778766253175419005,edge4av-real-20260514-sunny-after-rain-run-1,p5g-tcp-service-payload-256,private-5g-sunny-after-rain,guided-planning,tcp,av-1,obu-1,rsu-1,p5g-tcp-service-payload-256-24,ipi-session-1,intersection-101,veh-01,24,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,335,1778766253055526794,1778766175012505433,1778766175012555219,1778766253175419005,119.892,,0.050,78162.864,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-24, offloadPayload=256 bytes}"
5g-sender,1778766253475441418,edge4av-real-20260514-sunny-after-rain-run-1,p5g-tcp-service-payload-256,private-5g-sunny-after-rain,guided-planning,tcp,av-1,obu-1,rsu-1,p5g-tcp-service-payload-256-25,ipi-session-1,intersection-101,veh-01,25,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,335,1778766253375653462,1778766175323005366,1778766175323055032,1778766253475441418,99.788,,0.050,78152.386,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-25, offloadPayload=256 bytes}"
