threaded mqtt broker listening on 0.0.0.0:1883
1778881628.808361 accept ('127.0.0.1', 49144)
1778881628.808973 subscribe ('127.0.0.1', 49144) ipi/sunny-run-1/latency/av-1/request
1778881636.231595 accept ('10.120.121.44', 57054)
1778881636.762151 subscribe ('10.120.121.44', 57054) ipi/sunny-run-1/latency/av-1/ack
1778881641.078884 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131384 forwarded=1
1778881641.080921 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=233 forwarded=1
1778881644.411945 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131384 forwarded=1
1778881644.413211 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=233 forwarded=1
1778881649.386624 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131384 forwarded=1
1778881649.387424 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=233 forwarded=1
1778881659.601076 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131384 forwarded=1
1778881659.601822 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=233 forwarded=1
1778881673.758040 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131384 forwarded=1
1778881673.758847 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=233 forwarded=1
1778881679.215147 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131384 forwarded=1
1778881679.215960 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=233 forwarded=1
1778881681.458597 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131384 forwarded=1
1778881681.459422 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=233 forwarded=1
1778881686.334560 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131384 forwarded=1
1778881686.335368 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=233 forwarded=1
1778881695.556725 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131384 forwarded=1
1778881695.557521 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=233 forwarded=1
1778881706.303190 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881706.303996 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881710.871305 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881710.872166 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881712.945697 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881712.946475 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881720.004526 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881720.005359 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881722.800601 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881722.801454 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
