threaded mqtt broker listening on 0.0.0.0:1883
1779109765.654300 accept ('127.0.0.1', 52178)
1779109765.656308 subscribe ('127.0.0.1', 52178) ipi/sunny-run-1/latency/av-1/request
1779109772.639632 accept ('10.120.121.46', 44032)
1779109772.689446 subscribe ('10.120.121.46', 44032) ipi/sunny-run-1/latency/av-1/ack
1779109774.412460 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131400 forwarded=1
1779109774.414442 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=233 forwarded=1
1779109776.234028 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131400 forwarded=1
1779109776.235332 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=233 forwarded=1
1779109778.287001 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131400 forwarded=1
1779109778.287827 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=233 forwarded=1
1779109780.460134 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131400 forwarded=1
1779109780.461012 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=233 forwarded=1
1779109782.882962 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131400 forwarded=1
1779109782.883730 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=233 forwarded=1
1779109784.635669 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131400 forwarded=1
1779109784.636438 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=233 forwarded=1
1779109786.587742 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131400 forwarded=1
1779109786.588571 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=233 forwarded=1
1779109788.510994 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131400 forwarded=1
1779109788.511765 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=233 forwarded=1
1779109790.392939 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131400 forwarded=1
1779109790.393732 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=233 forwarded=1
1779109792.265993 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779109792.266780 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779109794.438390 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779109794.439200 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779109796.481713 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779109796.482488 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779109798.704484 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779109798.705293 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779109801.478870 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779109801.479680 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779109803.361239 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779109803.362075 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779109805.415117 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779109805.415888 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779109807.527886 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779109807.528724 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779109809.461474 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779109809.462286 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779109811.303867 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779109811.304703 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779109813.617581 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779109813.618376 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779109816.690829 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779109816.691709 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779109826.936352 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779109826.937152 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779109839.654557 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779109839.655355 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779109849.168593 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779109849.169380 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779109859.423021 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779109859.423882 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779109872.382521 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779109872.383295 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779109881.705679 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779109881.706535 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779109883.829035 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779109883.829828 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779109890.087522 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779109890.088402 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779109893.673451 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779109893.674283 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779109895.465260 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779109895.466065 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779109901.013538 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779109901.014326 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779109904.377788 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779109904.378621 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779109906.721866 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779109906.722695 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779109908.994470 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779109908.995322 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779109917.987767 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779109917.988587 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779109924.335824 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779109924.336700 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779109927.701148 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779109927.701947 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779109935.971937 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779109935.972804 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779109946.797834 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779109946.798657 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779109950.242679 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779109950.243526 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779109958.434483 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779109958.435256 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779109977.519815 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779109977.520626 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110009.403344 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110009.404112 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110035.138897 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110035.139722 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110050.840771 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110050.841548 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110062.586006 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110062.586857 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110066.662276 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110066.663074 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110100.937609 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110100.938426 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110139.055879 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110139.056652 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110155.417133 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110155.418019 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110158.111395 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110158.112172 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110160.894576 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110160.895415 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110164.740445 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110164.740950 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110167.424056 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110167.424897 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110172.171328 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110172.172156 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110174.964729 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110174.965533 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
