threaded mqtt broker listening on 0.0.0.0:1883
1779112382.332863 accept ('127.0.0.1', 34122)
1779112382.333647 subscribe ('127.0.0.1', 34122) ipi/sunny-run-1/latency/av-1/request
1779112387.209452 accept ('10.120.121.46', 46092)
1779112387.248949 subscribe ('10.120.121.46', 46092) ipi/sunny-run-1/latency/av-1/ack
1779112398.347292 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=262456 forwarded=1
1779112398.350343 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=233 forwarded=1
1779112408.530786 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=262456 forwarded=1
1779112408.531479 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=233 forwarded=1
1779112421.519113 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=262456 forwarded=1
1779112421.520841 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=233 forwarded=1
1779112430.902972 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=262456 forwarded=1
1779112430.904854 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=233 forwarded=1
1779112434.579093 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=262456 forwarded=1
1779112434.580789 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=233 forwarded=1
1779112660.625800 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=262456 forwarded=1
1779112660.627579 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=233 forwarded=1
1779112822.822336 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=262456 forwarded=1
1779112822.824158 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=233 forwarded=1
1779112826.978494 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=262456 forwarded=1
1779112826.980167 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=233 forwarded=1
1779112830.593790 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=262456 forwarded=1
1779112830.595458 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=233 forwarded=1
1779112834.119663 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=262458 forwarded=1
1779112834.121402 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779112837.913298 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=262458 forwarded=1
1779112837.915030 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779112847.308169 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=262458 forwarded=1
1779112847.309887 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779112850.822284 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=262458 forwarded=1
1779112850.824063 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779112865.718672 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=262458 forwarded=1
1779112865.720390 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779112870.825866 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=262458 forwarded=1
1779112870.827693 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779112883.034466 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=262458 forwarded=1
1779112883.036131 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779112903.367693 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=262458 forwarded=1
1779112903.369437 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779112907.154265 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=262458 forwarded=1
1779112907.155946 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779112923.245569 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=262458 forwarded=1
1779112923.247307 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779112945.458061 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=262458 forwarded=1
1779112945.459740 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779112949.262952 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=262458 forwarded=1
1779112949.264708 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779112963.665365 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=262458 forwarded=1
1779112963.667038 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779112967.429585 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=262458 forwarded=1
1779112967.431307 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779112983.603668 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=262458 forwarded=1
1779112983.605400 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779112987.598460 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=262458 forwarded=1
1779112987.600201 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779112996.952023 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=262458 forwarded=1
1779112996.953737 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779113000.566610 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=262458 forwarded=1
1779113000.567321 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
