system_time_ns,ros_time_sec,sample_topic,position_source,speed_source,latitude_deg,longitude_deg,altitude_m,horizontal_speed_mps,vertical_speed_mps,north_velocity_mps,east_velocity_mps,up_velocity_mps,track_ground_deg,solution_status,position_or_velocity_type
1778850468661372428,1778850468.613017245,/novatel/oem7/bestpos,/novatel/oem7/bestpos,,39.662800753,-75.757431558,35.731684617,,,,,,,novatel_oem7_msgs.msg.SolutionStatus(status=0),novatel_oem7_msgs.msg.PositionOrVelocityType(type=53)
1778850468661795280,1778850468.613586701,/novatel/oem7/bestvel,/novatel/oem7/bestpos,/novatel/oem7/bestvel,39.662800753,-75.757431558,35.731684617,0.000845559,-0.000502117,,,,129.040068605,novatel_oem7_msgs.msg.SolutionStatus(status=0),novatel_oem7_msgs.msg.PositionOrVelocityType(type=53)
1778850468662233987,1778850468.626650488,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662796990,-75.757436514,0.740999535,0.000827196,-0.000053853,-0.000605774,0.000563286,-0.000053853,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1778850468662624783,1778850468.626810443,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662800753,-75.757431558,1.531683854,0.000827196,-0.000053853,-0.000605774,0.000563286,-0.000053853,,0,
1778850468663193039,1778850468.647430331,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662796992,-75.757436514,0.740957211,0.001168216,-0.000345166,-0.000552152,0.001029494,-0.000345166,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1778850468663561475,1778850468.647603748,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662800753,-75.757431558,1.531683854,0.001168216,-0.000345166,-0.000552152,0.001029494,-0.000345166,,0,
1778850468667030197,1778850468.666722215,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662796993,-75.757436515,0.740902868,0.001129612,0.000030963,-0.000847375,0.000746980,0.000030963,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1778850468667580560,1778850468.666996856,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662800753,-75.757431558,1.531683854,0.001129612,0.000030963,-0.000847375,0.000746980,0.000030963,,0,
1778850468686802937,1778850468.686546281,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662796995,-75.757436515,0.740861497,0.001406354,-0.000366516,-0.000640405,0.001252084,-0.000366516,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1778850468687349577,1778850468.686728491,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662800753,-75.757431558,1.531683854,0.001406354,-0.000366516,-0.000640405,0.001252084,-0.000366516,,0,
1778850468707710122,1778850468.707382047,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662796997,-75.757436516,0.740805426,0.001128636,-0.000232459,-0.000855205,0.000736508,-0.000232459,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1778850468708299178,1778850468.707577110,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662800753,-75.757431558,1.531683854,0.001128636,-0.000232459,-0.000855205,0.000736508,-0.000232459,,0,
1778850468712696836,1778850468.712381645,/novatel/oem7/bestpos,/novatel/oem7/bestpos,/novatel/oem7/inspva,39.662800762,-75.757431560,35.731427861,0.001128636,-0.000232459,-0.000855205,0.000736508,-0.000232459,,novatel_oem7_msgs.msg.SolutionStatus(status=0),novatel_oem7_msgs.msg.PositionOrVelocityType(type=53)
1778850468713471152,1778850468.712845108,/novatel/oem7/bestvel,/novatel/oem7/bestpos,/novatel/oem7/bestvel,39.662800762,-75.757431560,35.731427861,0.001141828,-0.000011112,,,,154.279991718,novatel_oem7_msgs.msg.SolutionStatus(status=0),novatel_oem7_msgs.msg.PositionOrVelocityType(type=53)
1778850468726895458,1778850468.726618291,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662796998,-75.757436516,0.740763818,0.001351909,-0.000425156,-0.000987449,0.000923365,-0.000425156,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1778850468727656233,1778850468.726802371,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662800762,-75.757431560,1.531427098,0.001351909,-0.000425156,-0.000987449,0.000923365,-0.000425156,,0,
1778850468747083928,1778850468.746711987,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662797000,-75.757436517,0.740703256,0.001131097,-0.000604864,-0.001063878,0.000384114,-0.000604864,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1778850468747877730,1778850468.746899927,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662800762,-75.757431560,1.531427098,0.001131097,-0.000604864,-0.001063878,0.000384114,-0.000604864,,0,
1778850468767959094,1778850468.767499733,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662797001,-75.757436517,0.740659715,0.000905615,-0.000352318,-0.000869143,0.000254421,-0.000352318,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1778850468768970777,1778850468.767693073,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662800762,-75.757431560,1.531427098,0.000905615,-0.000352318,-0.000869143,0.000254421,-0.000352318,,0,
1778850468787002870,1778850468.786543517,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662797003,-75.757436518,0.740595753,0.000762112,-0.000527618,-0.000762111,-0.000001244,-0.000527618,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1778850468788198263,1778850468.786729447,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662800762,-75.757431560,1.531427098,0.000762112,-0.000527618,-0.000762111,-0.000001244,-0.000527618,,0,
1778850468809226733,1778850468.808672971,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662797004,-75.757436518,0.740549215,0.000943261,-0.000511256,-0.000806313,-0.000489490,-0.000511256,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1778850468810642228,1778850468.808863951,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662800762,-75.757431560,1.531427098,0.000943261,-0.000511256,-0.000806313,-0.000489490,-0.000511256,,0,
1778850468814513777,1778850468.813910756,/novatel/oem7/bestpos,/novatel/oem7/bestpos,/novatel/oem7/inspva,39.662800769,-75.757431563,35.731168982,0.000943261,-0.000511256,-0.000806313,-0.000489490,-0.000511256,,novatel_oem7_msgs.msg.SolutionStatus(status=0),novatel_oem7_msgs.msg.PositionOrVelocityType(type=53)
1778850468816030470,1778850468.814362180,/novatel/oem7/bestvel,/novatel/oem7/bestpos,/novatel/oem7/bestvel,39.662800769,-75.757431563,35.731168982,0.001237781,-0.000276692,,,,217.353788215,novatel_oem7_msgs.msg.SolutionStatus(status=0),novatel_oem7_msgs.msg.PositionOrVelocityType(type=53)
1778850468827285866,1778850468.826685381,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662797006,-75.757436519,0.740480961,0.000624512,-0.000648059,-0.000561422,-0.000273533,-0.000648059,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1778850468828837145,1778850468.826871184,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662800769,-75.757431563,1.531168219,0.000624512,-0.000648059,-0.000561422,-0.000273533,-0.000648059,,0,
1778850468847244323,1778850468.846655466,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662797007,-75.757436520,0.740429219,0.000759913,-0.000665100,-0.000583411,-0.000486928,-0.000665100,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
