system_time_ns,ros_time_sec,sample_topic,position_source,speed_source,latitude_deg,longitude_deg,altitude_m,horizontal_speed_mps,vertical_speed_mps,north_velocity_mps,east_velocity_mps,up_velocity_mps,track_ground_deg,solution_status,position_or_velocity_type
1779109836568103510,1779109836.523952611,/novatel/oem7/bestpos,/novatel/oem7/bestpos,,39.662819454,-75.757518151,34.481774202,,,,,,,novatel_oem7_msgs.msg.SolutionStatus(status=0),novatel_oem7_msgs.msg.PositionOrVelocityType(type=53)
1779109836568565361,1779109836.524480637,/novatel/oem7/bestvel,/novatel/oem7/bestpos,/novatel/oem7/bestvel,39.662819454,-75.757518151,34.481774202,0.002787222,0.003749721,,,,264.911008704,novatel_oem7_msgs.msg.SolutionStatus(status=0),novatel_oem7_msgs.msg.PositionOrVelocityType(type=53)
1779109836568992122,1779109836.515259529,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662815703,-75.757522960,-0.516265996,0.002667662,0.003565842,-0.000002510,-0.002667660,0.003565842,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779109836569378364,1779109836.532888966,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662819454,-75.757518151,0.281773439,0.002667662,0.003565842,-0.000002510,-0.002667660,0.003565842,,0,
1779109836569929742,1779109836.532754481,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662815702,-75.757522960,-0.516229714,0.002595785,0.003307475,-0.000239752,-0.002584689,0.003307475,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779109836570296286,1779109836.553411088,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662819454,-75.757518151,0.281773439,0.002595785,0.003307475,-0.000239752,-0.002584689,0.003307475,,0,
1779109836570838351,1779109836.553276503,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662815702,-75.757522961,-0.516198649,0.002785358,0.003451826,-0.000160172,-0.002780749,0.003451826,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779109836574049015,1779109836.573789071,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662815702,-75.757522962,-0.516157488,0.002550806,0.003645857,-0.000200862,-0.002542885,0.003645857,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779109836574823139,1779109836.573938023,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662819454,-75.757518151,0.281773439,0.002550806,0.003645857,-0.000200862,-0.002542885,0.003645857,,0,
1779109836593147187,1779109836.592882884,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662815701,-75.757522962,-0.516124378,0.002792748,0.003767885,-0.000086803,-0.002791399,0.003767885,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779109836593739483,1779109836.593031612,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662819454,-75.757518151,0.281773439,0.002792748,0.003767885,-0.000086803,-0.002791399,0.003767885,,0,
1779109836614738924,1779109836.614424449,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662815701,-75.757522963,-0.516081298,0.002777960,0.003688793,-0.000275113,-0.002764303,0.003688793,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779109836615389725,1779109836.614658669,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662819454,-75.757518151,0.281773439,0.002777960,0.003688793,-0.000275113,-0.002764303,0.003688793,,0,
1779109836619481846,1779109836.619075573,/novatel/oem7/bestpos,/novatel/oem7/bestpos,/novatel/oem7/inspva,39.662819453,-75.757518155,34.481957646,0.002777960,0.003688793,-0.000275113,-0.002764303,0.003688793,,novatel_oem7_msgs.msg.SolutionStatus(status=0),novatel_oem7_msgs.msg.PositionOrVelocityType(type=53)
1779109836620211580,1779109836.619600401,/novatel/oem7/bestvel,/novatel/oem7/bestpos,/novatel/oem7/bestvel,39.662819453,-75.757518155,34.481957646,0.002753697,0.003624458,,,,266.514559304,novatel_oem7_msgs.msg.SolutionStatus(status=0),novatel_oem7_msgs.msg.PositionOrVelocityType(type=53)
1779109836634106315,1779109836.633790609,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662815701,-75.757522964,-0.516047109,0.002988134,0.003634603,-0.000111860,-0.002986040,0.003634603,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779109836634751248,1779109836.634000831,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662819453,-75.757518155,0.281956883,0.002988134,0.003634603,-0.000111860,-0.002986040,0.003634603,,0,
1779109836652935146,1779109836.652646293,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662815700,-75.757522965,-0.516004497,0.002942447,0.003640407,-0.000379649,-0.002917852,0.003640407,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779109836653568838,1779109836.652847748,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662819453,-75.757518155,0.281956883,0.002942447,0.003640407,-0.000379649,-0.002917852,0.003640407,,0,
1779109836674352062,1779109836.673964012,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662815700,-75.757522965,-0.515971500,0.003040681,0.003514989,-0.000256281,-0.003029862,0.003514989,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779109836675340558,1779109836.674168641,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662819453,-75.757518155,0.281956883,0.003040681,0.003514989,-0.000256281,-0.003029862,0.003514989,,0,
1779109836694173223,1779109836.693687269,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662815700,-75.757522966,-0.515927924,0.003279357,0.003622040,-0.000322955,-0.003263415,0.003622040,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779109836695389302,1779109836.693937598,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662819453,-75.757518155,0.281956883,0.003279357,0.003622040,-0.000322955,-0.003263415,0.003622040,,0,
1779109836715072674,1779109836.714791893,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662815700,-75.757522967,-0.515882783,0.003627481,0.003772266,-0.000772566,-0.003544257,0.003772266,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779109836715620030,1779109836.715012522,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662819453,-75.757518155,0.281956883,0.003627481,0.003772266,-0.000772566,-0.003544257,0.003772266,,0,
1779109836720180397,1779109836.719238117,/novatel/oem7/bestpos,/novatel/oem7/bestpos,/novatel/oem7/inspva,39.662819451,-75.757518158,34.482153949,0.003627481,0.003772266,-0.000772566,-0.003544257,0.003772266,,novatel_oem7_msgs.msg.SolutionStatus(status=0),novatel_oem7_msgs.msg.PositionOrVelocityType(type=53)
1779109836721991220,1779109836.719765963,/novatel/oem7/bestvel,/novatel/oem7/bestpos,/novatel/oem7/bestvel,39.662819451,-75.757518158,34.482153949,0.003620647,0.003765643,,,,257.798468113,novatel_oem7_msgs.msg.SolutionStatus(status=0),novatel_oem7_msgs.msg.PositionOrVelocityType(type=53)
1779109836733534382,1779109836.732992590,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662815699,-75.757522968,-0.515850825,0.003291476,0.003522724,-0.000398058,-0.003267318,0.003522724,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779109836734876503,1779109836.733181739,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662819451,-75.757518158,0.282153186,0.003291476,0.003522724,-0.000398058,-0.003267318,0.003522724,,0,
1779109836754352654,1779109836.753706120,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662815699,-75.757522969,-0.515816392,0.003165712,0.003523943,-0.000217892,-0.003158205,0.003523943,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779109836756073455,1779109836.753903959,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662819451,-75.757518158,0.282153186,0.003165712,0.003523943,-0.000217892,-0.003158205,0.003523943,,0,
1779109836772947728,1779109836.772629585,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662815699,-75.757522969,-0.515771457,0.003301457,0.003586838,-0.000304590,-0.003287376,0.003586838,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779109836773596323,1779109836.772838913,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662819451,-75.757518158,0.282153186,0.003301457,0.003586838,-0.000304590,-0.003287376,0.003586838,,0,
1779109836794758970,1779109836.794163160,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662815698,-75.757522970,-0.515733026,0.003188599,0.003635507,-0.000046832,-0.003188255,0.003635507,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779109836796176298,1779109836.794376179,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662819451,-75.757518158,0.282153186,0.003188599,0.003635507,-0.000046832,-0.003188255,0.003635507,,0,
1779109836815063656,1779109836.814494273,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662815698,-75.757522971,-0.515685244,0.003422203,0.003739476,-0.000298841,-0.003409130,0.003739476,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779109836816412023,1779109836.814690008,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662819451,-75.757518158,0.282153186,0.003422203,0.003739476,-0.000298841,-0.003409130,0.003739476,,0,
1779109836820438879,1779109836.819787632,/novatel/oem7/bestpos,/novatel/oem7/bestpos,/novatel/oem7/inspva,39.662819450,-75.757518162,34.482351292,0.003422203,0.003739476,-0.000298841,-0.003409130,0.003739476,,novatel_oem7_msgs.msg.SolutionStatus(status=0),novatel_oem7_msgs.msg.PositionOrVelocityType(type=53)
1779109836821942505,1779109836.820303275,/novatel/oem7/bestvel,/novatel/oem7/bestpos,/novatel/oem7/bestvel,39.662819450,-75.757518162,34.482351292,0.003325470,0.003606976,,,,267.752687975,novatel_oem7_msgs.msg.SolutionStatus(status=0),novatel_oem7_msgs.msg.PositionOrVelocityType(type=53)
1779109836833988193,1779109836.833426847,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662815698,-75.757522972,-0.515638744,0.003443581,0.003585289,0.000081296,-0.003442622,0.003585289,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779109836835330045,1779109836.833629790,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662819450,-75.757518162,0.282350529,0.003443581,0.003585289,0.000081296,-0.003442622,0.003585289,,0,
1779109836854245192,1779109836.853649959,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662815698,-75.757522972,-0.515598314,0.003383261,0.003723307,-0.000352680,-0.003364829,0.003723307,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779109836855631963,1779109836.853871122,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662819450,-75.757518162,0.282350529,0.003383261,0.003723307,-0.000352680,-0.003364829,0.003723307,,0,
1779109836874247158,1779109836.873654302,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662815697,-75.757522973,-0.515560003,0.003268061,0.003593706,-0.000170624,-0.003263603,0.003593706,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779109836875637636,1779109836.873853287,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662819450,-75.757518162,0.282350529,0.003268061,0.003593706,-0.000170624,-0.003263603,0.003593706,,0,
1779109836893276767,1779109836.892680344,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662815697,-75.757522974,-0.515511954,0.003527385,0.003666449,-0.000328623,-0.003512044,0.003666449,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779109836894703173,1779109836.892893636,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662819450,-75.757518162,0.282350529,0.003527385,0.003666449,-0.000328623,-0.003512044,0.003666449,,0,
1779109836915543537,1779109836.914954078,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662815697,-75.757522975,-0.515472299,0.003342121,0.003607526,-0.000415820,-0.003316153,0.003607526,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779109836916950069,1779109836.915183426,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662819450,-75.757518162,0.282350529,0.003342121,0.003607526,-0.000415820,-0.003316153,0.003607526,,0,
1779109836920471463,1779109836.919822263,/novatel/oem7/bestpos,/novatel/oem7/bestpos,/novatel/oem7/inspva,39.662819448,-75.757518166,34.482558596,0.003342121,0.003607526,-0.000415820,-0.003316153,0.003607526,,novatel_oem7_msgs.msg.SolutionStatus(status=0),novatel_oem7_msgs.msg.PositionOrVelocityType(type=53)
1779109836922028003,1779109836.920344278,/novatel/oem7/bestvel,/novatel/oem7/bestpos,/novatel/oem7/bestvel,39.662819448,-75.757518166,34.482558596,0.003318285,0.003275235,,,,273.731080499,novatel_oem7_msgs.msg.SolutionStatus(status=0),novatel_oem7_msgs.msg.PositionOrVelocityType(type=53)
1779109836934180965,1779109836.933580146,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662815696,-75.757522976,-0.515421362,0.003514898,0.003662131,0.000021499,-0.003514833,0.003662131,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779109836935581990,1779109836.933790441,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662819448,-75.757518166,0.282557833,0.003514898,0.003662131,0.000021499,-0.003514833,0.003662131,,0,
1779109836953895678,1779109836.953310552,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662815696,-75.757522976,-0.515369837,0.003442621,0.003672783,0.000302065,-0.003429343,0.003672783,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779109836955345920,1779109836.953543134,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662819448,-75.757518166,0.282557833,0.003442621,0.003672783,0.000302065,-0.003429343,0.003672783,,0,
1779109836974694849,1779109836.974083750,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662815696,-75.757522977,-0.515326410,0.003351333,0.003587243,0.000003286,-0.003351331,0.003587243,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779109836976196609,1779109836.974312195,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662819448,-75.757518166,0.282557833,0.003351333,0.003587243,0.000003286,-0.003351331,0.003587243,,0,
1779109836994497337,1779109836.993755116,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662815696,-75.757522978,-0.515281701,0.003582326,0.003553914,-0.000134589,-0.003579797,0.003553914,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779109836996679410,1779109836.994063455,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662819448,-75.757518166,0.282557833,0.003582326,0.003553914,-0.000134589,-0.003579797,0.003553914,,0,
1779109837020232220,1779109837.019595780,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662815695,-75.757522979,-0.515229261,0.003410223,0.003591239,0.000323121,-0.003394881,0.003591239,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779109837021712133,1779109837.019821469,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662819448,-75.757518166,0.282557833,0.003410223,0.003591239,0.000323121,-0.003394881,0.003591239,,0,
1779109837025163736,1779109837.024236510,/novatel/oem7/odom,/novatel/oem7/fix,/novatel/oem7/odom,39.662819448,-75.757518166,0.282557833,0.003359694,0.003638554,-0.003341405,0.000350080,0.003638554,,,
1779109837027458360,1779109837.026758285,/novatel/oem7/odom,/novatel/oem7/fix,/novatel/oem7/odom,39.662819448,-75.757518166,0.282557833,0.003359694,0.003638554,-0.003341405,0.000350080,0.003638554,,,
1779109837034357670,1779109837.033726820,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662815695,-75.757522979,-0.515184286,0.003593029,0.003748446,-0.000108214,-0.003591399,0.003748446,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779109837035831363,1779109837.034153781,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662815695,-75.757522979,-0.515184286,0.003593029,0.003748446,-0.000108214,-0.003591399,0.003748446,,0,
1779109837037046592,1779109837.035040301,/novatel/oem7/odom,/novatel/oem7/fix,/novatel/oem7/odom,39.662815695,-75.757522979,-0.515184286,0.003532785,0.003805278,-0.003531869,-0.000080419,0.003805278,,,
1779109837046617191,1779109837.045788412,/novatel/oem7/odom,/novatel/oem7/fix,/novatel/oem7/odom,39.662815695,-75.757522979,-0.515184286,0.003532785,0.003805278,-0.003531869,-0.000080419,0.003805278,,,
1779109837048325679,1779109837.046131052,/novatel/oem7/bestpos,/novatel/oem7/bestpos,/novatel/oem7/odom,39.662819447,-75.757518170,34.482798860,0.003532785,0.003805278,-0.003531869,-0.000080419,0.003805278,,novatel_oem7_msgs.msg.SolutionStatus(status=0),novatel_oem7_msgs.msg.PositionOrVelocityType(type=53)
1779109837049355167,1779109837.046862196,/novatel/oem7/bestvel,/novatel/oem7/bestpos,/novatel/oem7/bestvel,39.662819447,-75.757518170,34.482798860,0.003295839,0.003580708,,,,274.119197597,novatel_oem7_msgs.msg.SolutionStatus(status=0),novatel_oem7_msgs.msg.PositionOrVelocityType(type=53)
1779109837054571562,1779109837.053957362,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662815695,-75.757522980,-0.515131194,0.003454288,0.003562862,0.000007061,-0.003454281,0.003562862,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779109837056849116,1779109837.054285485,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662815695,-75.757522980,-0.515131194,0.003454288,0.003562862,0.000007061,-0.003454281,0.003562862,,0,
1779109837058016322,1779109837.055130578,/novatel/oem7/odom,/novatel/oem7/fix,/novatel/oem7/odom,39.662815695,-75.757522980,-0.515131194,0.003398731,0.003615898,-0.003398570,0.000033130,0.003615898,,,
1779109837066540175,1779109837.065834675,/novatel/oem7/odom,/novatel/oem7/fix,/novatel/oem7/odom,39.662815695,-75.757522980,-0.515131194,0.003398731,0.003615898,-0.003398570,0.000033130,0.003615898,,,
1779109837074283762,1779109837.073453859,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662815695,-75.757522979,-0.515195862,0.003323580,0.003679634,0.000497712,-0.003286102,0.003679634,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
