system_time_ns,ros_time_sec,sample_topic,position_source,speed_source,latitude_deg,longitude_deg,altitude_m,horizontal_speed_mps,vertical_speed_mps,north_velocity_mps,east_velocity_mps,up_velocity_mps,track_ground_deg,solution_status,position_or_velocity_type
1778862292026508040,1778862292.007956694,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662814260,-75.757446208,-2.708135329,0.004834732,-0.002043547,-0.000403273,-0.004817884,-0.002043547,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1778862292026920674,1778862292.008118986,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662817971,-75.757441233,-1.915244077,0.004834732,-0.002043547,-0.000403273,-0.004817884,-0.002043547,,0,
1778862292028826993,1778862292.028588197,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662814261,-75.757446209,-2.708074006,0.005512226,-0.001695542,-0.000045316,-0.005512040,-0.001695542,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1778862292029352023,1778862292.028716279,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662817971,-75.757441233,-1.915244077,0.005512226,-0.001695542,-0.000045316,-0.005512040,-0.001695542,,0,
1778862292053415276,1778862292.053099787,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662814261,-75.757446210,-2.708016776,0.004213318,-0.001771449,0.000303868,-0.004202346,-0.001771449,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1778862292053955745,1778862292.053261942,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662817971,-75.757441233,-1.915244077,0.004213318,-0.001771449,0.000303868,-0.004202346,-0.001771449,,0,
1778862292056055168,1778862292.055619813,/novatel/oem7/odom,/novatel/oem7/fix,/novatel/oem7/odom,39.662817971,-75.757441233,-1.915244077,0.004225887,-0.001741253,-0.004222393,0.000171804,-0.001741253,,,
1778862292061622623,1778862292.061285875,/novatel/oem7/odom,/novatel/oem7/fix,/novatel/oem7/odom,39.662817971,-75.757441233,-1.915244077,0.004225887,-0.001741253,-0.004222393,0.000171804,-0.001741253,,,
1778862292067503350,1778862292.067235594,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662814261,-75.757446211,-2.707986221,0.003815878,-0.001469256,-0.001460332,-0.003525387,-0.001469256,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1778862292068018798,1778862292.067550847,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662814261,-75.757446211,-2.707986221,0.003815878,-0.001469256,-0.001460332,-0.003525387,-0.001469256,,0,
1778862292068609369,1778862292.068110566,/novatel/oem7/odom,/novatel/oem7/fix,/novatel/oem7/odom,39.662814261,-75.757446211,-2.707986221,0.003832400,-0.001425604,-0.003495968,-0.001570191,-0.001425604,,,
1778862292080425914,1778862292.079983149,/novatel/oem7/bestpos,/novatel/oem7/bestpos,/novatel/oem7/odom,39.662817972,-75.757441238,32.284976410,0.003832400,-0.001425604,-0.003495968,-0.001570191,-0.001425604,,novatel_oem7_msgs.msg.SolutionStatus(status=0),novatel_oem7_msgs.msg.PositionOrVelocityType(type=53)
1778862292081179677,1778862292.080893039,/novatel/oem7/bestvel,/novatel/oem7/bestpos,/novatel/oem7/bestvel,39.662817972,-75.757441238,32.284976410,0.004776942,-0.001296531,,,,269.818083443,novatel_oem7_msgs.msg.SolutionStatus(status=0),novatel_oem7_msgs.msg.PositionOrVelocityType(type=53)
1778862292081767766,1778862292.081498914,/novatel/oem7/odom,/novatel/oem7/bestpos,/novatel/oem7/odom,39.662817972,-75.757441238,32.284976410,0.003832400,-0.001425604,-0.003495968,-0.001570191,-0.001425604,,,
