system_time_ns,ros_time_sec,sample_topic,position_source,speed_source,latitude_deg,longitude_deg,altitude_m,horizontal_speed_mps,vertical_speed_mps,north_velocity_mps,east_velocity_mps,up_velocity_mps,track_ground_deg,solution_status,position_or_velocity_type
1779135574119642663,1779135574.084583979,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662824426,-75.757528932,-1.416603183,0.001054004,0.001603928,-0.000905896,-0.000538773,0.001603928,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779135574120073901,1779135574.084726943,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662824426,-75.757528932,-1.416603183,0.001054004,0.001603928,-0.000905896,-0.000538773,0.001603928,,0,
1779135574120668448,1779135574.103763235,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662824426,-75.757528933,-1.416624174,0.001277697,0.001539449,-0.001156991,-0.000542109,0.001539449,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779135574121042723,1779135574.103899272,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662824426,-75.757528933,-1.416624174,0.001277697,0.001539449,-0.001156991,-0.000542109,0.001539449,,0,
1779135574126042529,1779135574.125768037,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662824426,-75.757528933,-1.416637624,0.001018178,0.001409833,-0.000996329,-0.000209801,0.001409833,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779135574126583949,1779135574.125908017,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662824426,-75.757528933,-1.416637624,0.001018178,0.001409833,-0.000996329,-0.000209801,0.001409833,,0,
1779135574127254428,1779135574.126427185,/novatel/oem7/odom,/novatel/oem7/fix,/novatel/oem7/odom,39.662824426,-75.757528933,-1.416637624,0.000980570,0.001436244,-0.000199883,-0.000959981,0.001436244,,,
1779135574130231437,1779135574.129854493,/novatel/oem7/bestpos,/novatel/oem7/bestpos,/novatel/oem7/odom,39.662828172,-75.757524176,33.583977410,0.000980570,0.001436244,-0.000199883,-0.000959981,0.001436244,,novatel_oem7_msgs.msg.SolutionStatus(status=0),novatel_oem7_msgs.msg.PositionOrVelocityType(type=53)
1779135574130947747,1779135574.130559183,/novatel/oem7/bestvel,/novatel/oem7/bestpos,/novatel/oem7/bestvel,39.662828172,-75.757524176,33.583977410,0.001128097,0.001455904,,,,189.219800183,novatel_oem7_msgs.msg.SolutionStatus(status=0),novatel_oem7_msgs.msg.PositionOrVelocityType(type=53)
1779135574133333911,1779135574.133032224,/novatel/oem7/odom,/novatel/oem7/bestpos,/novatel/oem7/odom,39.662828172,-75.757524176,33.583977410,0.000980570,0.001436244,-0.000199883,-0.000959981,0.001436244,,,
1779135574144113538,1779135574.143799823,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662824426,-75.757528934,-1.416660027,0.001053978,0.001090337,-0.001053977,0.000001828,0.001090337,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779135574144643436,1779135574.143996806,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662824426,-75.757528934,-1.416660027,0.001053978,0.001090337,-0.001053977,0.000001828,0.001090337,,0,
1779135574145464416,1779135574.144602422,/novatel/oem7/odom,/novatel/oem7/fix,/novatel/oem7/odom,39.662824426,-75.757528934,-1.416660027,0.001027141,0.001115655,0.000007265,-0.001027115,0.001115655,,,
1779135574154913941,1779135574.154571826,/novatel/oem7/odom,/novatel/oem7/fix,/novatel/oem7/odom,39.662824426,-75.757528934,-1.416660027,0.001027141,0.001115655,0.000007265,-0.001027115,0.001115655,,,
1779135574164949991,1779135574.164666802,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662824426,-75.757528934,-1.416667306,0.001006812,0.001683562,-0.000675239,-0.000746808,0.001683562,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779135574165490759,1779135574.164884797,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662824426,-75.757528934,-1.416667306,0.001006812,0.001683562,-0.000675239,-0.000746808,0.001683562,,0,
1779135574171716122,1779135574.165436431,/novatel/oem7/odom,/novatel/oem7/fix,/novatel/oem7/odom,39.662824426,-75.757528934,-1.416667306,0.000963618,0.001708652,-0.000730879,-0.000627992,0.001708652,,,
1779135574175560926,1779135574.175245063,/novatel/oem7/odom,/novatel/oem7/fix,/novatel/oem7/odom,39.662824426,-75.757528934,-1.416667306,0.000963618,0.001708652,-0.000730879,-0.000627992,0.001708652,,,
1779135574184954721,1779135574.184698293,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662824426,-75.757528935,-1.416692562,0.001028811,0.001108933,-0.000774485,-0.000677219,0.001108933,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779135574185481343,1779135574.184883874,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662824426,-75.757528935,-1.416692562,0.001028811,0.001108933,-0.000774485,-0.000677219,0.001108933,,0,
1779135574193667784,1779135574.185400828,/novatel/oem7/odom,/novatel/oem7/fix,/novatel/oem7/odom,39.662824426,-75.757528935,-1.416692562,0.000999076,0.001135795,-0.000669297,-0.000741751,0.001135795,,,
1779135574194268798,1779135574.192963765,/novatel/oem7/odom,/novatel/oem7/fix,/novatel/oem7/odom,39.662824426,-75.757528935,-1.416692562,0.000999076,0.001135795,-0.000669297,-0.000741751,0.001135795,,,
1779135574204289237,1779135574.204056136,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662824426,-75.757528935,-1.416699356,0.000885914,0.001702232,-0.000880089,-0.000101425,0.001702232,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779135574204975378,1779135574.204235261,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662824426,-75.757528935,-1.416699356,0.000885914,0.001702232,-0.000880089,-0.000101425,0.001702232,,0,
1779135574205402904,1779135574.204717121,/novatel/oem7/odom,/novatel/oem7/fix,/novatel/oem7/odom,39.662824426,-75.757528935,-1.416699356,0.000842035,0.001724359,-0.000086936,-0.000837535,0.001724359,,,
1779135574214272759,1779135574.213988623,/novatel/oem7/odom,/novatel/oem7/fix,/novatel/oem7/odom,39.662824426,-75.757528935,-1.416699356,0.000842035,0.001724359,-0.000086936,-0.000837535,0.001724359,,,
1779135574225087427,1779135574.224849888,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662824427,-75.757528936,-1.416720113,0.001151186,0.001309118,-0.001118939,0.000270561,0.001309118,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779135574225610260,1779135574.225042720,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662824427,-75.757528936,-1.416720113,0.001151186,0.001309118,-0.001118939,0.000270561,0.001309118,,0,
1779135574226198614,1779135574.225554461,/novatel/oem7/odom,/novatel/oem7/fix,/novatel/oem7/odom,39.662824427,-75.757528936,-1.416720113,0.001123876,0.001332637,0.000278211,-0.001088897,0.001332637,,,
1779135574229901910,1779135574.229620392,/novatel/oem7/bestpos,/novatel/oem7/bestpos,/novatel/oem7/odom,39.662828173,-75.757524179,33.583898257,0.001123876,0.001332637,0.000278211,-0.001088897,0.001332637,,novatel_oem7_msgs.msg.SolutionStatus(status=0),novatel_oem7_msgs.msg.PositionOrVelocityType(type=53)
1779135574230498534,1779135574.230110060,/novatel/oem7/bestvel,/novatel/oem7/bestpos,/novatel/oem7/bestvel,39.662828173,-75.757524179,33.583898257,0.001139661,0.001352264,,,,170.367908310,novatel_oem7_msgs.msg.SolutionStatus(status=0),novatel_oem7_msgs.msg.PositionOrVelocityType(type=53)
1779135574233156476,1779135574.232871010,/novatel/oem7/odom,/novatel/oem7/bestpos,/novatel/oem7/odom,39.662828173,-75.757524179,33.583898257,0.001123876,0.001332637,0.000278211,-0.001088897,0.001332637,,,
1779135574245050825,1779135574.244801210,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662824427,-75.757528936,-1.416727307,0.000945487,0.001401978,-0.000944493,-0.000043345,0.001401978,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779135574245574105,1779135574.245001087,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.662824427,-75.757528936,-1.416727307,0.000945487,0.001401978,-0.000944493,-0.000043345,0.001401978,,0,
1779135574246168188,1779135574.245488252,/novatel/oem7/odom,/novatel/oem7/fix,/novatel/oem7/odom,39.662824427,-75.757528936,-1.416727307,0.000910298,0.001425077,-0.000033142,-0.000909695,0.001425077,,,
1779135574253698055,1779135574.253286618,/novatel/oem7/odom,/novatel/oem7/fix,/novatel/oem7/odom,39.662824427,-75.757528936,-1.416727307,0.000910298,0.001425077,-0.000033142,-0.000909695,0.001425077,,,
1779135574264255669,1779135574.264003835,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.662824427,-75.757528937,-1.416742291,0.001084120,0.001432171,-0.001071250,-0.000166556,0.001432171,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
