emitter_role,emit_time_ns,run_id,condition_id,condition_label,service_type,transport,av_id,obu_id,rsu_id,request_id,session_id,intersection_id,source_id,sequence,network_load_level,qos_profile,mobility_state,clock_sync_state,accepted,service_success,vehicle_outcome_name,vehicle_outcome_value,vehicle_outcome_unit,frame_type,payload_bytes,client_send_ns,server_receive_ns,server_send_ns,client_receive_ns,rtt_ms,uplink_ms,server_ms,downlink_ms,detail
5g-sender,1778881718938763358,edge4av-real-20260515-sunny-run-1,p5g-mqtt-service-payload-131072,private-5g-sunny,guided-planning,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-service-payload-131072-1,ipi-session-1,sunny-run-1,av-1,1,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,131148,1778881714619599762,1778881641080333139,1778881641080691386,1778881718938763358,4319.164,,0.358,77858.072,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-1, offloadPayload=131072 bytes}"
5g-sender,1778881722270694898,edge4av-real-20260515-sunny-run-1,p5g-mqtt-service-payload-131072,private-5g-sunny,guided-planning,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-service-payload-131072-2,ipi-session-1,sunny-run-1,av-1,2,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,131148,1778881719140042824,1778881644412845428,1778881644412916316,1778881722270694898,3130.652,,0.071,77857.779,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-2, offloadPayload=131072 bytes}"
5g-sender,1778881727240697140,edge4av-real-20260515-sunny-run-1,p5g-mqtt-service-payload-131072,private-5g-sunny,guided-planning,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-service-payload-131072-3,ipi-session-1,sunny-run-1,av-1,3,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,131148,1778881722471763534,1778881649387063993,1778881649387133832,1778881727240697140,4768.934,,0.070,77853.563,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-3, offloadPayload=131072 bytes}"
5g-sender,1778881737456551803,edge4av-real-20260515-sunny-run-1,p5g-mqtt-service-payload-131072,private-5g-sunny,guided-planning,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-service-payload-131072-4,ipi-session-1,sunny-run-1,av-1,4,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,131148,1778881727441772699,1778881659601487203,1778881659601557427,1778881737456551803,10014.779,,0.070,77854.994,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-4, offloadPayload=131072 bytes}"
5g-sender,1778881751612645113,edge4av-real-20260515-sunny-run-1,p5g-mqtt-service-payload-131072,private-5g-sunny,guided-planning,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-service-payload-131072-5,ipi-session-1,sunny-run-1,av-1,5,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,131148,1778881737657662031,1778881673758482243,1778881673758554166,1778881751612645113,13954.983,,0.072,77854.091,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-5, offloadPayload=131072 bytes}"
5g-sender,1778881757070655544,edge4av-real-20260515-sunny-run-1,p5g-mqtt-service-payload-131072,private-5g-sunny,guided-planning,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-service-payload-131072-6,ipi-session-1,sunny-run-1,av-1,6,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,131148,1778881751813788809,1778881679215578735,1778881679215651561,1778881757070655544,5256.867,,0.073,77855.004,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-6, offloadPayload=131072 bytes}"
5g-sender,1778881759312602356,edge4av-real-20260515-sunny-run-1,p5g-mqtt-service-payload-131072,private-5g-sunny,guided-planning,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-service-payload-131072-7,ipi-session-1,sunny-run-1,av-1,7,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,131148,1778881757271763277,1778881681459077883,1778881681459146721,1778881759312602356,2040.839,,0.069,77853.456,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-7, offloadPayload=131072 bytes}"
5g-sender,1778881764190540573,edge4av-real-20260515-sunny-run-1,p5g-mqtt-service-payload-131072,private-5g-sunny,guided-planning,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-service-payload-131072-8,ipi-session-1,sunny-run-1,av-1,8,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,131148,1778881759513759786,1778881686334993490,1778881686335065904,1778881764190540573,4676.781,,0.072,77855.475,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-8, offloadPayload=131072 bytes}"
5g-sender,1778881773410576825,edge4av-real-20260515-sunny-run-1,p5g-mqtt-service-payload-131072,private-5g-sunny,guided-planning,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-service-payload-131072-9,ipi-session-1,sunny-run-1,av-1,9,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,131148,1778881764391668453,1778881695557148238,1778881695557220860,1778881773410576825,9018.908,,0.073,77853.356,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-9, offloadPayload=131072 bytes}"
5g-sender,1778881784156651414,edge4av-real-20260515-sunny-run-1,p5g-mqtt-service-payload-131072,private-5g-sunny,guided-planning,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-service-payload-131072-10,ipi-session-1,sunny-run-1,av-1,10,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,131149,1778881773611689497,1778881706303666232,1778881706303736425,1778881784156651414,10544.962,,0.070,77852.915,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-10, offloadPayload=131072 bytes}"
5g-sender,1778881788728599904,edge4av-real-20260515-sunny-run-1,p5g-mqtt-service-payload-131072,private-5g-sunny,guided-planning,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-service-payload-131072-11,ipi-session-1,sunny-run-1,av-1,11,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,131149,1778881784357772891,1778881710871807359,1778881710871881041,1778881788728599904,4370.827,,0.074,77856.719,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-11, offloadPayload=131072 bytes}"
5g-sender,1778881790802681912,edge4av-real-20260515-sunny-run-1,p5g-mqtt-service-payload-131072,private-5g-sunny,guided-planning,mqtt,av-1,obu-1,rsu-1,p5g-mqtt-service-payload-131072-12,ipi-session-1,sunny-run-1,av-1,12,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,131149,1778881788929682464,1778881712946143500,1778881712946213175,1778881790802681912,1872.999,,0.070,77856.469,"CooperativeService{guidedPlanning, status=request, vehicleId=0x61762d31, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-12, offloadPayload=131072 bytes}"
