emitter_role,emit_time_ns,run_id,condition_id,condition_label,service_type,transport,av_id,obu_id,rsu_id,request_id,session_id,intersection_id,source_id,sequence,network_load_level,qos_profile,mobility_state,clock_sync_state,accepted,service_success,vehicle_outcome_name,vehicle_outcome_value,vehicle_outcome_unit,frame_type,payload_bytes,client_send_ns,server_receive_ns,server_send_ns,client_receive_ns,rtt_ms,uplink_ms,server_ms,downlink_ms,detail
5g-sender,1778856999496634370,edge4av-real-20260515-sunny-run-1,p5g-tcp-service-payload-65536,private-5g-sunny,guided-planning,tcp,av-1,obu-1,rsu-1,p5g-tcp-service-payload-65536-1,ipi-session-1,intersection-101,veh-01,1,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,65614,1778856992099629280,1778856921505115409,1778856921505321370,1778856999496634370,7397.005,,0.206,77991.313,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-1, offloadPayload=65536 bytes}"
5g-sender,1778857001089542683,edge4av-real-20260515-sunny-run-1,p5g-tcp-service-payload-65536,private-5g-sunny,guided-planning,tcp,av-1,obu-1,rsu-1,p5g-tcp-service-payload-65536-2,ipi-session-1,intersection-101,veh-01,2,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,65614,1778856999697277711,1778856923096946960,1778856923097190768,1778857001089542683,1392.265,,0.244,77992.352,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-2, offloadPayload=65536 bytes}"
5g-sender,1778857002361090118,edge4av-real-20260515-sunny-run-1,p5g-tcp-service-payload-65536,private-5g-sunny,guided-planning,tcp,av-1,obu-1,rsu-1,p5g-tcp-service-payload-65536-3,ipi-session-1,intersection-101,veh-01,3,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,65614,1778857001290012457,1778856924358483978,1778856924358512924,1778857002361090118,1071.078,,0.029,78002.577,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-3, offloadPayload=65536 bytes}"
5g-sender,1778857008889665892,edge4av-real-20260515-sunny-run-1,p5g-tcp-service-payload-65536,private-5g-sunny,guided-planning,tcp,av-1,obu-1,rsu-1,p5g-tcp-service-payload-65536-4,ipi-session-1,intersection-101,veh-01,4,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,65614,1778857002561714083,1778856930907374559,1778856930907442204,1778857008889665892,6327.952,,0.068,77982.224,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-4, offloadPayload=65536 bytes}"
5g-sender,1778857012985254801,edge4av-real-20260515-sunny-run-1,p5g-tcp-service-payload-65536,private-5g-sunny,guided-planning,tcp,av-1,obu-1,rsu-1,p5g-tcp-service-payload-65536-5,ipi-session-1,intersection-101,veh-01,5,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,65614,1778857009090315628,1778856935002932877,1778856935002999350,1778857012985254801,3894.939,,0.066,77982.255,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-5, offloadPayload=65536 bytes}"
5g-sender,1778857014717186951,edge4av-real-20260515-sunny-run-1,p5g-tcp-service-payload-65536,private-5g-sunny,guided-planning,tcp,av-1,obu-1,rsu-1,p5g-tcp-service-payload-65536-6,ipi-session-1,intersection-101,veh-01,6,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,65614,1778857013185926407,1778856936735099139,1778856936735167005,1778857014717186951,1531.261,,0.068,77982.020,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-6, offloadPayload=65536 bytes}"
5g-sender,1778857016229938836,edge4av-real-20260515-sunny-run-1,p5g-tcp-service-payload-65536,private-5g-sunny,guided-planning,tcp,av-1,obu-1,rsu-1,p5g-tcp-service-payload-65536-7,ipi-session-1,intersection-101,veh-01,7,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,65614,1778857014917790610,1778856938236990099,1778856938237059910,1778857016229938836,1312.148,,0.070,77992.879,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-7, offloadPayload=65536 bytes}"
5g-sender,1778857017591460663,edge4av-real-20260515-sunny-run-1,p5g-tcp-service-payload-65536,private-5g-sunny,guided-planning,tcp,av-1,obu-1,rsu-1,p5g-tcp-service-payload-65536-8,ipi-session-1,intersection-101,veh-01,8,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,65614,1778857016430485009,1778856939598859325,1778856939598926379,1778857017591460663,1160.976,,0.067,77992.534,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-8, offloadPayload=65536 bytes}"
5g-sender,1778857027220324393,edge4av-real-20260515-sunny-run-1,p5g-tcp-service-payload-65536,private-5g-sunny,guided-planning,tcp,av-1,obu-1,rsu-1,p5g-tcp-service-payload-65536-9,ipi-session-1,intersection-101,veh-01,9,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,65614,1778857017791914526,1778856949221046642,1778856949221114499,1778857027220324393,9428.410,,0.068,77999.210,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-9, offloadPayload=65536 bytes}"
5g-sender,1778857063061530116,edge4av-real-20260515-sunny-run-1,p5g-tcp-service-payload-65536,private-5g-sunny,guided-planning,tcp,av-1,obu-1,rsu-1,p5g-tcp-service-payload-65536-10,ipi-session-1,intersection-101,veh-01,10,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,65615,1778857027420980375,1778856985078010696,1778856985078077895,1778857063061530116,35640.550,,0.067,77983.452,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-10, offloadPayload=65536 bytes}"
