emitter_role,emit_time_ns,run_id,condition_id,condition_label,service_type,transport,av_id,obu_id,rsu_id,request_id,session_id,intersection_id,source_id,sequence,network_load_level,qos_profile,mobility_state,clock_sync_state,accepted,service_success,vehicle_outcome_name,vehicle_outcome_value,vehicle_outcome_unit,frame_type,payload_bytes,client_send_ns,server_receive_ns,server_send_ns,client_receive_ns,rtt_ms,uplink_ms,server_ms,downlink_ms,detail
5g-receiver,1779388512965583603,edge4av-real-20260521-small-rain-run-1,p5g-tcp-service-payload-32768,private-5g-small-rain,guided-planning,tcp,,veh-01,rsu-1,p5g-tcp-service-payload-32768-1,ipi-session-1,intersection-101,veh-01,1,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,32846,1779388589065794194,1779388512965536460,1779388512965583603,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-1, offloadPayload=32768 bytes}"
5g-receiver,1779388513266361205,edge4av-real-20260521-small-rain-run-1,p5g-tcp-service-payload-32768,private-5g-small-rain,guided-planning,tcp,,veh-01,rsu-1,p5g-tcp-service-payload-32768-2,ipi-session-1,intersection-101,veh-01,2,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,32846,1779388589372494777,1779388513266224968,1779388513266361205,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-2, offloadPayload=32768 bytes}"
5g-receiver,1779388513556545296,edge4av-real-20260521-small-rain-run-1,p5g-tcp-service-payload-32768,private-5g-small-rain,guided-planning,tcp,,veh-01,rsu-1,p5g-tcp-service-payload-32768-3,ipi-session-1,intersection-101,veh-01,3,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,32846,1779388589662625853,1779388513556485762,1779388513556545296,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-3, offloadPayload=32768 bytes}"
5g-receiver,1779388513846926320,edge4av-real-20260521-small-rain-run-1,p5g-tcp-service-payload-32768,private-5g-small-rain,guided-planning,tcp,,veh-01,rsu-1,p5g-tcp-service-payload-32768-4,ipi-session-1,intersection-101,veh-01,4,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,32846,1779388589963143348,1779388513846867090,1779388513846926320,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-4, offloadPayload=32768 bytes}"
5g-receiver,1779388514147129471,edge4av-real-20260521-small-rain-run-1,p5g-tcp-service-payload-32768,private-5g-small-rain,guided-planning,tcp,,veh-01,rsu-1,p5g-tcp-service-payload-32768-5,ipi-session-1,intersection-101,veh-01,5,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,32846,1779388590252653915,1779388514147070101,1779388514147129471,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-5, offloadPayload=32768 bytes}"
5g-receiver,1779388514457812037,edge4av-real-20260521-small-rain-run-1,p5g-tcp-service-payload-32768,private-5g-small-rain,guided-planning,tcp,,veh-01,rsu-1,p5g-tcp-service-payload-32768-6,ipi-session-1,intersection-101,veh-01,6,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,32846,1779388590552791137,1779388514457752265,1779388514457812037,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-6, offloadPayload=32768 bytes}"
5g-receiver,1779388514748227604,edge4av-real-20260521-small-rain-run-1,p5g-tcp-service-payload-32768,private-5g-small-rain,guided-planning,tcp,,veh-01,rsu-1,p5g-tcp-service-payload-32768-7,ipi-session-1,intersection-101,veh-01,7,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,32846,1779388590856100784,1779388514748168164,1779388514748227604,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-7, offloadPayload=32768 bytes}"
5g-receiver,1779388515068745822,edge4av-real-20260521-small-rain-run-1,p5g-tcp-service-payload-32768,private-5g-small-rain,guided-planning,tcp,,veh-01,rsu-1,p5g-tcp-service-payload-32768-8,ipi-session-1,intersection-101,veh-01,8,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,32846,1779388591171650404,1779388515068656178,1779388515068745822,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-8, offloadPayload=32768 bytes}"
5g-receiver,1779388515368884112,edge4av-real-20260521-small-rain-run-1,p5g-tcp-service-payload-32768,private-5g-small-rain,guided-planning,tcp,,veh-01,rsu-1,p5g-tcp-service-payload-32768-9,ipi-session-1,intersection-101,veh-01,9,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,32846,1779388591463684238,1779388515368825559,1779388515368884112,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-9, offloadPayload=32768 bytes}"
5g-receiver,1779388515669501346,edge4av-real-20260521-small-rain-run-1,p5g-tcp-service-payload-32768,private-5g-small-rain,guided-planning,tcp,,veh-01,rsu-1,p5g-tcp-service-payload-32768-10,ipi-session-1,intersection-101,veh-01,10,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,32847,1779388591766174079,1779388515669442011,1779388515669501346,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-10, offloadPayload=32768 bytes}"
5g-receiver,1779388515950075045,edge4av-real-20260521-small-rain-run-1,p5g-tcp-service-payload-32768,private-5g-small-rain,guided-planning,tcp,,veh-01,rsu-1,p5g-tcp-service-payload-32768-11,ipi-session-1,intersection-101,veh-01,11,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,32847,1779388592074633247,1779388515950014707,1779388515950075045,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-11, offloadPayload=32768 bytes}"
5g-receiver,1779388516250588867,edge4av-real-20260521-small-rain-run-1,p5g-tcp-service-payload-32768,private-5g-small-rain,guided-planning,tcp,,veh-01,rsu-1,p5g-tcp-service-payload-32768-12,ipi-session-1,intersection-101,veh-01,12,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,32847,1779388592357904245,1779388516250529012,1779388516250588867,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-12, offloadPayload=32768 bytes}"
5g-receiver,1779388516540855831,edge4av-real-20260521-small-rain-run-1,p5g-tcp-service-payload-32768,private-5g-small-rain,guided-planning,tcp,,veh-01,rsu-1,p5g-tcp-service-payload-32768-13,ipi-session-1,intersection-101,veh-01,13,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,32847,1779388592656002164,1779388516540796741,1779388516540855831,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-13, offloadPayload=32768 bytes}"
5g-receiver,1779388516841243163,edge4av-real-20260521-small-rain-run-1,p5g-tcp-service-payload-32768,private-5g-small-rain,guided-planning,tcp,,veh-01,rsu-1,p5g-tcp-service-payload-32768-14,ipi-session-1,intersection-101,veh-01,14,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,32847,1779388592947166138,1779388516841183479,1779388516841243163,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-14, offloadPayload=32768 bytes}"
5g-receiver,1779388517141788247,edge4av-real-20260521-small-rain-run-1,p5g-tcp-service-payload-32768,private-5g-small-rain,guided-planning,tcp,,veh-01,rsu-1,p5g-tcp-service-payload-32768-15,ipi-session-1,intersection-101,veh-01,15,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,32847,1779388593246990698,1779388517141728960,1779388517141788247,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-15, offloadPayload=32768 bytes}"
5g-receiver,1779388517452183365,edge4av-real-20260521-small-rain-run-1,p5g-tcp-service-payload-32768,private-5g-small-rain,guided-planning,tcp,,veh-01,rsu-1,p5g-tcp-service-payload-32768-16,ipi-session-1,intersection-101,veh-01,16,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,32847,1779388593551967482,1779388517452124744,1779388517452183365,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-16, offloadPayload=32768 bytes}"
5g-receiver,1779388517752737872,edge4av-real-20260521-small-rain-run-1,p5g-tcp-service-payload-32768,private-5g-small-rain,guided-planning,tcp,,veh-01,rsu-1,p5g-tcp-service-payload-32768-17,ipi-session-1,intersection-101,veh-01,17,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,32847,1779388593858227477,1779388517752653638,1779388517752737872,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-17, offloadPayload=32768 bytes}"
5g-receiver,1779388518042928529,edge4av-real-20260521-small-rain-run-1,p5g-tcp-service-payload-32768,private-5g-small-rain,guided-planning,tcp,,veh-01,rsu-1,p5g-tcp-service-payload-32768-18,ipi-session-1,intersection-101,veh-01,18,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,32847,1779388594151975700,1779388518042863524,1779388518042928529,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-18, offloadPayload=32768 bytes}"
5g-receiver,1779388518333482813,edge4av-real-20260521-small-rain-run-1,p5g-tcp-service-payload-32768,private-5g-small-rain,guided-planning,tcp,,veh-01,rsu-1,p5g-tcp-service-payload-32768-19,ipi-session-1,intersection-101,veh-01,19,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,32847,1779388594451896991,1779388518333422143,1779388518333482813,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-19, offloadPayload=32768 bytes}"
5g-receiver,1779388518623815081,edge4av-real-20260521-small-rain-run-1,p5g-tcp-service-payload-32768,private-5g-small-rain,guided-planning,tcp,,veh-01,rsu-1,p5g-tcp-service-payload-32768-20,ipi-session-1,intersection-101,veh-01,20,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,32847,1779388594728132156,1779388518623755878,1779388518623815081,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-20, offloadPayload=32768 bytes}"
5g-receiver,1779388518914291256,edge4av-real-20260521-small-rain-run-1,p5g-tcp-service-payload-32768,private-5g-small-rain,guided-planning,tcp,,veh-01,rsu-1,p5g-tcp-service-payload-32768-21,ipi-session-1,intersection-101,veh-01,21,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,32847,1779388595029122762,1779388518914232208,1779388518914291256,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-21, offloadPayload=32768 bytes}"
5g-receiver,1779388519214700698,edge4av-real-20260521-small-rain-run-1,p5g-tcp-service-payload-32768,private-5g-small-rain,guided-planning,tcp,,veh-01,rsu-1,p5g-tcp-service-payload-32768-22,ipi-session-1,intersection-101,veh-01,22,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,32847,1779388595326629347,1779388519214640995,1779388519214700698,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-22, offloadPayload=32768 bytes}"
5g-receiver,1779388519505006436,edge4av-real-20260521-small-rain-run-1,p5g-tcp-service-payload-32768,private-5g-small-rain,guided-planning,tcp,,veh-01,rsu-1,p5g-tcp-service-payload-32768-23,ipi-session-1,intersection-101,veh-01,23,idle,default,stationary,unsynced,true,true,,,,IPI-CooperativeService,32847,1779388595619457722,1779388519504944460,1779388519505006436,,,,,,"CooperativeService{guidedPlanning, status=request, vehicleId=0x7665682d3031, requestedHorizonMs=2500, confidence=100, planning.waypoints=1, offloadTaskId=probe-23, offloadPayload=32768 bytes}"
