threaded mqtt broker listening on 0.0.0.0:1883
1779385895.682255 accept ('127.0.0.1', 33752)
1779385895.682893 subscribe ('127.0.0.1', 33752) ipi/small-rain-run-1/latency/av-1/request
1779385902.696220 accept ('10.120.121.33', 39388)
1779385902.726049 subscribe ('10.120.121.33', 39388) ipi/small-rain-run-1/latency/av-1/ack
1779385902.756300 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=577 forwarded=1
1779385902.756561 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=230 forwarded=1
1779385902.986916 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=577 forwarded=1
1779385902.987582 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=230 forwarded=1
1779385903.216877 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=577 forwarded=1
1779385903.217496 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=230 forwarded=1
1779385903.457194 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=577 forwarded=1
1779385903.457819 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=230 forwarded=1
1779385903.757639 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=577 forwarded=1
1779385903.758290 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=230 forwarded=1
1779385903.988336 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=577 forwarded=1
1779385903.988990 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=230 forwarded=1
1779385904.218665 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=577 forwarded=1
1779385904.219299 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=230 forwarded=1
1779385904.458909 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=577 forwarded=1
1779385904.459538 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=230 forwarded=1
1779385904.699239 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=577 forwarded=1
1779385904.699868 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=230 forwarded=1
1779385904.959701 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=579 forwarded=1
1779385904.960360 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=231 forwarded=1
1779385905.230076 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=579 forwarded=1
1779385905.230721 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=231 forwarded=1
1779385905.470469 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=579 forwarded=1
1779385905.471113 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=231 forwarded=1
1779385905.710900 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=579 forwarded=1
