transport,payload_bytes_requested,encoded_payload_bytes_min,encoded_payload_bytes_max,attempts,accepted,success,success_rate_pct,rtt_p50_ms,rtt_p95_ms,rtt_p99_ms,uplink_nonnegative_count,uplink_p50_ms,uplink_p95_ms,uplink_p99_ms,server_p50_ms,server_p95_ms,server_p99_ms,downlink_nonnegative_count,downlink_p50_ms,downlink_p95_ms,downlink_p99_ms,sender_err_lines,status
tcp,0,63,63,1000,1000,1000,100.000,119.864,142.443,159.690,0,,,,0.044,0.048,0.074,1000,76219.269,76230.300,76232.088,4,complete
mqtt,0,61,61,1000,1000,1000,100.000,22.049,40.312,47.476,0,,,,0.043,0.045,0.066,1000,76188.916,76193.755,76196.479,4,complete
tcp,256,334,337,1000,1000,1000,100.000,120.613,159.691,169.879,0,,,,0.050,0.056,0.081,1000,76217.318,76228.221,76233.168,4,complete
mqtt,256,332,335,1000,1000,1000,100.000,29.979,50.004,67.976,0,,,,0.049,0.052,0.078,1000,76186.327,76191.844,76195.031,4,complete
tcp,1024,1102,1105,1000,1000,1000,100.000,129.668,170.991,203.799,0,,,,0.050,0.056,0.082,1000,76213.204,76223.750,76227.294,4,complete
mqtt,1024,1100,1103,1000,1000,1000,100.000,31.726,51.591,69.744,0,,,,0.049,0.051,0.075,1000,76184.299,76190.244,76192.479,4,complete
tcp,4096,4174,4177,1000,1000,1000,100.000,80.227,136.305,175.628,0,,,,0.052,0.066,0.083,1000,76212.457,76218.733,76225.378,4,complete
mqtt,4096,4172,4175,1000,1000,1000,100.000,51.664,79.659,103.491,0,,,,0.050,0.061,0.085,1000,76187.120,76193.441,76196.447,4,complete
tcp,8192,8270,8273,1000,1000,1000,100.000,89.947,169.970,210.028,0,,,,0.053,0.067,0.085,1000,76209.524,76217.019,76226.508,4,complete
mqtt,8192,8268,8271,1000,1000,1000,100.000,63.772,87.893,109.712,0,,,,0.052,0.061,0.085,1000,76183.460,76190.150,76192.235,4,complete
tcp,16384,16462,16465,1000,1000,1000,100.000,119.686,193.728,224.563,0,,,,0.054,0.071,0.087,1000,76206.163,76214.539,76223.702,4,complete
mqtt,16384,16460,16463,1000,1000,1000,100.000,69.703,129.629,181.537,0,,,,0.052,0.055,0.081,1000,76179.949,76186.243,76189.375,4,complete
tcp,32768,32846,32849,1000,1000,1000,100.000,90.185,107.931,119.823,0,,,,0.060,0.074,0.095,1000,76204.506,76211.363,76215.557,4,complete
mqtt,32768,32844,32847,1000,1000,1000,100.000,63.516,77.485,110.172,0,,,,0.055,0.068,0.088,1000,76178.378,76183.763,76186.358,4,complete
tcp,65536,65614,65617,1000,1000,1000,100.000,169.910,231.526,265.590,0,,,,0.066,0.079,0.113,1000,76202.035,76208.152,76213.633,4,complete
mqtt,65536,65612,65615,1000,1000,1000,100.000,159.382,211.600,289.810,0,,,,0.060,0.072,0.096,1000,76175.416,76179.558,76183.996,4,complete
tcp,131072,131150,131153,1000,1000,1000,100.000,283.971,350.892,638.668,0,,,,0.077,0.093,0.120,1000,76197.326,76203.535,76209.808,4,complete
mqtt,131072,131148,131151,1000,1000,1000,100.000,251.810,333.252,471.766,0,,,,0.071,0.077,0.108,1000,76173.527,76177.898,76182.055,4,complete
tcp,262144,262222,262225,1000,1000,1000,100.000,579.062,784.454,935.409,0,,,,0.104,0.132,0.153,1000,76201.452,76207.845,76212.613,4,complete
mqtt,262144,262220,262223,1000,1000,1000,100.000,728.377,1156.083,1412.295,0,,,,0.091,0.104,0.126,1000,76174.777,76180.765,76183.550,4,complete
tcp,524288,524366,524369,1000,1000,1000,100.000,1485.407,3598.768,4417.241,0,,,,0.165,0.197,0.224,1000,76183.145,76198.001,76203.363,4,complete
mqtt,524288,524364,524367,1000,1000,1000,100.000,866.372,1085.127,1195.337,0,,,,0.125,0.142,0.173,1000,76149.374,76155.933,76158.243,4,complete
tcp,1048576,1048654,1048657,1000,1000,1000,100.000,1135.347,1255.798,1575.411,0,,,,0.256,0.291,0.311,1000,76167.082,76179.601,76183.691,4,complete
mqtt,1048576,1048652,1048655,1000,1000,1000,100.000,2042.731,3018.356,3460.328,0,,,,0.362,0.388,0.406,1000,76137.562,76180.713,76185.956,4,complete
