threaded mqtt broker listening on 0.0.0.0:1883
1779475585.539772 accept ('127.0.0.1', 52104)
1779475585.540376 subscribe ('127.0.0.1', 52104) ipi/cloudy-run-1/latency/av-1/request
1779475592.590292 accept ('10.120.121.34', 32786)
1779475592.630357 subscribe ('10.120.121.34', 32786) ipi/cloudy-run-1/latency/av-1/ack
1779475592.680362 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16697 forwarded=1
1779475592.680622 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=232 forwarded=1
1779475592.930932 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16697 forwarded=1
1779475592.931715 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=232 forwarded=1
1779475593.181378 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16697 forwarded=1
1779475593.182059 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=232 forwarded=1
1779475593.451628 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16697 forwarded=1
1779475593.452303 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=232 forwarded=1
1779475593.702028 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16697 forwarded=1
1779475593.702706 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=232 forwarded=1
1779475593.952312 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16697 forwarded=1
1779475593.953025 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=232 forwarded=1
1779475594.202728 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16697 forwarded=1
1779475594.203382 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=232 forwarded=1
1779475594.453244 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16697 forwarded=1
1779475594.453907 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=232 forwarded=1
1779475594.693463 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16697 forwarded=1
1779475594.694147 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=232 forwarded=1
1779475594.933607 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16699 forwarded=1
1779475594.934246 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=233 forwarded=1
1779475595.173954 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16699 forwarded=1
1779475595.174633 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=233 forwarded=1
1779475595.414379 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16699 forwarded=1
1779475595.415114 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=233 forwarded=1
1779475595.654610 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16699 forwarded=1
1779475595.655278 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=233 forwarded=1
1779475595.904709 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16699 forwarded=1
1779475595.905428 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=233 forwarded=1
1779475596.165129 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16699 forwarded=1
1779475596.165806 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=233 forwarded=1
1779475596.415329 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16699 forwarded=1
1779475596.416036 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=233 forwarded=1
1779475596.675845 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16699 forwarded=1
1779475596.676509 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=233 forwarded=1
1779475596.925982 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16699 forwarded=1
1779475596.926629 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=233 forwarded=1
1779475597.176086 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16699 forwarded=1
