system_time_ns,ros_time_sec,sample_topic,position_source,speed_source,latitude_deg,longitude_deg,altitude_m,horizontal_speed_mps,vertical_speed_mps,north_velocity_mps,east_velocity_mps,up_velocity_mps,track_ground_deg,solution_status,position_or_velocity_type
1779472532374818529,1779472532.317023786,/novatel/oem7/bestpos,/novatel/oem7/bestpos,,39.665704739,-75.756106345,35.751344945,,,,,,,novatel_oem7_msgs.msg.SolutionStatus(status=0),novatel_oem7_msgs.msg.PositionOrVelocityType(type=53)
1779472532375343324,1779472532.317847976,/novatel/oem7/bestvel,/novatel/oem7/bestpos,/novatel/oem7/bestvel,39.665704739,-75.756106345,35.751344945,0.001199209,0.000006868,,,,253.019896711,novatel_oem7_msgs.msg.SolutionStatus(status=0),novatel_oem7_msgs.msg.PositionOrVelocityType(type=53)
1779472532375838992,1779472532.312983603,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.665709090,-75.756102025,0.770406730,0.000906656,0.000060964,-0.000722152,-0.000548199,0.000060964,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779472532376299223,1779472532.330761146,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.665709092,-75.756102024,0.770530113,0.000906656,0.000060964,-0.000722152,-0.000548199,0.000060964,,0,
1779472532376983119,1779472532.330612556,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.665709092,-75.756102024,0.770530113,0.001231158,-0.000364895,-0.000811642,-0.000925735,-0.000364895,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779472532377400683,1779472532.351797796,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.665709094,-75.756102023,0.770616357,0.001231158,-0.000364895,-0.000811642,-0.000925735,-0.000364895,,0,
1779472532378058169,1779472532.351651970,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.665709094,-75.756102023,0.770616357,0.001092685,-0.000138394,-0.000691793,-0.000845803,-0.000138394,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779472532378476568,1779472532.371741935,/novatel/oem7/fix,/novatel/oem7/fix,/novatel/oem7/inspva,39.665709096,-75.756102022,0.770743407,0.001092685,-0.000138394,-0.000691793,-0.000845803,-0.000138394,,0,
1779472532379133907,1779472532.371606841,/novatel/oem7/inspva,/novatel/oem7/inspva,/novatel/oem7/inspva,39.665709096,-75.756102022,0.770743407,0.001031577,-0.000158601,-0.000766053,-0.000690879,-0.000158601,,novatel_oem7_msgs.msg.InertialSolutionStatus(status=3),
1779472532380301452,1779472532.379850320,/novatel/oem7/odom,/novatel/oem7/inspva,/novatel/oem7/odom,39.665709096,-75.756102022,0.770743407,0.001032500,-0.000152472,0.000762646,0.000696008,-0.000152472,,,
