transport,payload_bytes_requested,encoded_payload_bytes_min,encoded_payload_bytes_max,attempts,accepted,success,success_rate_pct,rtt_p50_ms,rtt_p95_ms,rtt_p99_ms,uplink_nonnegative_count,uplink_p50_ms,uplink_p95_ms,uplink_p99_ms,server_p50_ms,server_p95_ms,server_p99_ms,downlink_nonnegative_count,downlink_p50_ms,downlink_p95_ms,downlink_p99_ms,sender_err_lines,status
tcp,0,63,63,1000,1000,1000,100.000,119.733,148.108,153.765,0,,,,0.044,0.048,0.071,1000,75958.529,75969.295,75976.017,4,complete
mqtt,0,61,61,1000,1000,1000,100.000,27.636,39.604,43.817,0,,,,0.043,0.045,0.074,1000,75929.342,75937.231,75939.835,4,complete
tcp,256,334,337,1000,1000,1000,100.000,119.781,146.860,151.286,0,,,,0.050,0.052,0.081,1000,75953.979,75965.088,75972.180,4,complete
mqtt,256,332,335,1000,1000,1000,100.000,25.764,37.980,43.725,0,,,,0.049,0.051,0.079,1000,75922.944,75930.727,75932.414,4,complete
tcp,1024,1102,1105,1000,1000,1000,100.000,128.209,155.301,163.190,0,,,,0.050,0.053,0.082,1000,75950.609,75961.939,75968.419,4,complete
mqtt,1024,1100,1103,1000,1000,1000,100.000,33.995,47.302,50.216,0,,,,0.049,0.053,0.084,1000,75919.868,75928.697,75930.434,4,complete
tcp,4096,4174,4177,1000,1000,1000,100.000,79.715,119.639,122.151,0,,,,0.052,0.057,0.086,1000,75944.372,75957.085,75964.676,4,complete
mqtt,4096,4172,4175,1000,1000,1000,100.000,39.776,47.683,51.751,0,,,,0.050,0.052,0.076,1000,75919.941,75926.702,75928.237,4,complete
tcp,8192,8270,8273,1000,1000,1000,100.000,89.847,119.775,136.161,0,,,,0.052,0.066,0.090,1000,75942.873,75953.984,75962.252,4,complete
mqtt,8192,8268,8271,1000,1000,1000,100.000,39.953,49.998,55.677,0,,,,0.050,0.053,0.076,1000,75913.626,75922.642,75925.506,4,complete
tcp,16384,16462,16465,1000,1000,1000,100.000,79.845,101.384,116.620,0,,,,0.054,0.069,0.086,1000,75938.747,75950.320,75958.039,4,complete
mqtt,16384,16460,16463,1000,1000,1000,100.000,49.767,63.737,73.856,0,,,,0.056,0.059,0.085,1000,75912.514,75920.933,75922.876,4,complete
tcp,32768,32846,32849,1000,1000,1000,100.000,92.036,115.581,120.636,0,,,,0.059,0.074,0.092,1000,75936.780,75948.244,75956.360,4,complete
mqtt,32768,32844,32847,1000,1000,1000,100.000,69.566,83.185,89.726,0,,,,0.054,0.066,0.084,1000,75912.350,75919.887,75921.831,4,complete
tcp,65536,65614,65617,1000,1000,1000,100.000,129.454,151.302,160.495,0,,,,0.065,0.091,0.109,1000,75937.688,75954.295,75956.279,4,complete
mqtt,65536,65612,65615,1000,1000,1000,100.000,107.668,129.445,139.410,0,,,,0.060,0.067,0.099,1000,75912.361,75919.552,75920.761,4,complete
tcp,131072,131150,131153,1000,1000,1000,100.000,200.595,229.267,300.198,0,,,,0.080,0.106,0.136,1000,75934.873,75951.530,75953.586,4,complete
mqtt,131072,131148,131151,1000,1000,1000,100.000,178.898,202.785,214.441,0,,,,0.071,0.092,0.109,1000,75909.628,75915.373,75916.912,4,complete
tcp,262144,262222,262225,1000,1000,1000,100.000,360.574,420.511,469.447,0,,,,0.108,0.137,0.164,1000,75937.776,75951.037,75952.638,4,complete
mqtt,262144,262220,262223,1000,1000,1000,100.000,329.057,378.398,618.777,0,,,,0.090,0.105,0.133,1000,75912.737,75916.414,75917.364,4,complete
tcp,524288,524366,524369,1000,1000,1000,100.000,655.053,982.803,1135.046,0,,,,0.162,0.198,0.223,1000,75931.597,75944.349,75952.460,4,complete
mqtt,524288,524364,524367,1000,1000,1000,100.000,647.755,761.387,825.305,0,,,,0.126,0.143,0.166,1000,75905.925,75910.019,75912.605,4,complete
tcp,1048576,1048654,1048657,1000,1000,1000,100.000,1236.150,1465.084,1603.686,0,,,,0.248,0.284,0.308,1000,75929.087,75946.257,75955.573,4,complete
mqtt,1048576,1048652,1048655,1000,1000,1000,100.000,1223.351,1406.789,1576.948,0,,,,0.147,0.382,0.410,1000,75967.187,75983.944,75986.006,4,complete
