id,latitude,longitude,east_m_from_base,north_m_from_base,distance_to_base_m,is_base_station,rsrp_dbm,rsrq_db,snr_db,snr_raw
0,39.66729000,-75.75751000,0.00,0.00,0.00,true,,,,-
1,39.66808000,-75.75586000,141.39,87.33,166.19,false,-121.00,-11.00,4.50,4-5
2,39.66683000,-75.75693000,49.70,-50.85,71.10,false,-109.00,-10.00,13.00,12-14
3,39.66685000,-75.75579000,147.39,-48.64,155.21,false,-110.00,-10.00,16.50,14-19
4,39.66527000,-75.75938000,-160.25,-223.29,274.84,false,-107.00,-11.00,19.00,18-20
5,39.66555000,-75.75819000,-58.27,-192.34,200.97,false,-91.00,-12.00,27.50,25-30
6,39.66568000,-75.75554000,168.82,-177.97,245.30,false,-104.00,-10.00,21.00,20-22
7,39.66556000,-75.75432000,273.36,-191.23,333.61,false,-110.00,-10.00,14.00,13-15
8,39.66564000,-75.75653000,83.98,-182.39,200.80,false,-101.00,-10.00,19.00,16-22
9,39.66378000,-75.75896000,-124.25,-388.00,407.41,false,-102.00,-10.00,20.00,16-24
10,39.66387000,-75.75771000,-17.14,-378.05,378.44,false,-100.00,-10.00,22.00,18-26
11,39.66420000,-75.75548000,173.96,-341.57,383.31,false,-105.00,-10.00,15.00,10-20
12,39.66405000,-75.75474000,237.37,-358.15,429.67,false,-107.00,-10.00,17.50,17-18
13,39.66349000,-75.75833000,-70.27,-420.05,425.89,false,-103.00,-10.00,25.00,20-30
14,39.66376000,-75.75721000,25.71,-390.21,391.05,false,-106.00,-10.00,14.50,9-20
15,39.66286000,-75.75747000,3.43,-489.69,489.70,false,-120.00,-13.00,3.50,3-4
16,39.66298000,-75.75538000,182.53,-476.43,510.19,false,-114.00,-19.00,11.00,9-13
